Clone ID	Gene Symbol
377018	UBA52
136862	TCTE3
841670	PIAS1
236160	LOC90379
39725	MFSD4
295623	VPS39
754397	IMPP4B
133150	RP11-535K18.3
430068	SBNO1
66747	C1QTNF7
788554	SYAP1
809731	MNT
825357	NA
771326	ZNF558
277749	BPHL
346915	NA
416154	MAPK8
746075	FAM82C
246504	NA
645670	NA
48704	CLPTM1
50459	FLJ90757
132569	NA
296669	ADCK4
1030631	NA
460143	NA
340642	KIAA1276
461499	OIT3
295868	CLEC2D
53396	NA
110371	FRS2
34409	NA
52063	EXOC1
24918	PIP5K1B
451902	NA
283124	SLC27A1
809422	CAB39
436318	DKFZP761M1511
288840	COL4A3BP
51842	GALNT13
787861	DYRK2
486544	SNAPC3
868119	INTS12
289229	SLC11A2
48518	ABCA5
842825	GSPT1
418004	BMI1
291478	RUNX3
746169	SLCO3A1
244044	C1QC
486719	OSBPL8
746064	MOBK1B
898235	G3BP
