miRNA Name	SCLC	NSCLC	Ref.
hsa-mir-95	Up	Down	41
hsa-mir-9-1	Up	Down	41
hsa-mir-200c	Up	Down	42
hsa-mir-128-1	Up	Down	43
hsa-let-7a-1	Unchanged	Down	44–48
hsa-mir-34a	Down	Up	28, 49
hsa-mir-150	Down	Up	41
hsa-mir-155	Down	Up	41
hsa-mir-223	Down	Up in serum	43, 50
hsa-mir-29a	Down	Down	41, 51, 52
hsa-mir-143	Down	Down	41
hsa-mir-145	Down	Down	41
hsa-mir-126	Down	Down	41, 53
hsa-mir-33a	Down	Down	41
hsa-mir-224	Down	Down	41
hsa-mir-25	Up	Up in serum	43, 50
hsa-mir-17	Up	Up	19, 41, 47, 48
hsa-mir-106a	Up	Up	41
