Gene Name	Gene Accession	Fold Change: FCA1	Fold Change: Huh7
ISG15	M31020	23.5	36
G1P3	NM_002038	12.41	23.12
IFIT1	NM_001548	18.5	20
SCYB10	NM_001565	2.07	18.52
Mx1	M30817	8.9	9.05
OAS	NM_003733	7.54	9.3
IFIT2	NM_001547	11.31	9.44
1-8D	NM_006435	7.7	7.19
1-8U	X57352	7.36	9.23
IFI17	NM_003641	3	2.37
IFI27	NM_005532	1.25	2.56
IFI75	NM_004509	2.05	3.65
STAT2	NM_005419	2.61	3.01
