Gene ID	Chi Squared Score	Chi Squared Rank	Gain ratio Score	Gain ratio Rank	Symmetrical uncertainty Score	Symmetrical uncertainty Rank	Relief Score	Relief Rank
ATP9A	15.653	1	0.634	1	0.588	1	0.015	34
OBP2B	14.603	2	0.600	2	0.493	3	0.007	66
DRD1	14.603	2	0.600	2	0.493	3	0.003	55
DEFB123	14.603	2	0.600	2	0.493	3	0.009	69
ARSD	14.524	3	0.532	4	0.472	4	0.069	2
SPINLW1	14.524	3	0.532	4	0.472	4	0.010	75
CLCN2	13.081	4	0.537	3	0.503	2	0.027	17
ACE2	11.507	5	0.411	7	0.374	7	0.010	73
PLK2	11.068	6	0.472	5	0.367	8	0.033	12
TAF7L	11.068	6	0.472	5	0.367	8	0.007	65
