GeneSymbol	Gene Description	PN+/PN?	P value (Student’s t test)
Jak1	JAK1	0.804	0.00158
Sap1a	SAP-1a (mouse SAP-1b)	0.779	0.00824
Abl2	Arg (Abl2)	0.779	0.0139
Cdk2	Cdk2	0.813	0.01874
Pax9	Pax9	0.577	0.03331
Ccnh	Cyclin H (CAK regulatory subunit)	0.801	0.03443
Rasgrf1	Ras-GRF1 (Ras-GRF p140)	0.747	0.04025
Ralbp1	Ral BP-1	0.764	0.04154
Cea	CEA	0.704	0.04246
