Gene title	Gene symbol	More description
Signal transducer and activator of transcription 4	Stat4	Stat
Ankyrin repeat domain 22	Ankrd22	NF-kappaB related
Avian reticulo-endotheliosis viral (v-rel) oncogene related B	Relb	NF-kappaB related
Reticuloendotheliosis oncogene	Crel	NF-kappaB related
B-cell leukemia/lymphoma 3	Bcl3	NF-kappaB related
CAMP responsive ele -ment binding protein 5	Creb5	NF-kappaB related
CCAAT/enhancer binding protein (C/EBP), beta	Cebpb	NF-kappaB related
Inhibitor of kappa b kinase epsilon	Ikbke	NF-kappaB related
Interleukin-1 receptor-associated kinase 3	Irak3	NF-kappaB related
Max dimerization protein	Mad	NF-kappaB related
Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta	Nfkbiz	NF-kappaB related
Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2, p49/p100	Nfkb2	NF-kappaB related
Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon	Nfkbie	NF-kappaB related
TRAF family member-associated NF-kappa B activator	Tank	NF-kappaB related
Interferon activated gene  202B	Ifi202b	Interferon related
Interferon activated gene 204	Ifi204	Interferon related
Interferon regulatory factor 1	Irf1	Interferon related
Interferon regulatory factor 5	Irf5	Interferon related
Interferon regulatory factor 7	Irf7	Interferon related
Interferon-induced protein 44	Ifi44	Interferon related
Interferon-inducedprotein with tetra-tricopeptide repeats 2 (ISG54)	Ifit2	Interferon related
Interferon-inducedprotein with tetra-tricopeptide repeats 3 (GARG-49)	Ifit3	Interferon related
Myxovirus (influenza virus) resistance 1	Mx1	Interferon related
Signal transducer and activator of transcription 4	Stat4	Stat
Early growth response 2	Egr2	Other transcription factors
Early growth response 3	Egr3	Other transcription factors
Spi-C transcription factor (Spi-1/PU.1 related)	Spic	Other transcription factors
TGFB-induced factor 2	Tgif2	Other transcription factors
Transcription factor E3	Tcfe3	Other transcription factors
Transforming growth factor, beta induced	Tgfbi	Other transcription factors
V-maf musculo- aponeurotic fibro-sarcoma oncogene family, protein F (avian)	Maff	Other transcription factors
