Gene Name	Function
Lymphotactin	Chemokine
MIP1A	Chemokine
MIP1B	Chemokine
MCP1	Chemokine
GRO2	Chemokine
LARC	Chemokine
IL8	Chemokine
MCP3	Chemokine
CCR1	Chemokine receptor
CCR5	Chemokine receptor
TNF alpha	Cytokine
GMCSF	Cytokine
IL2	Cytokine
IL4	Cytokine
Oncostatin M	Cytokine
PBEF	Cytokine
IL13	Cytokine
IL1 beta	Cytokine
TGF beta1	Cytokine
IL6	Cytokine
TNFR2	Cytokine receptor
IL1 receptor type I	Cytokine receptor
IL6 receptor alpha chain	Cytokine receptor
IL3 receptor alpha chain	Cytokine receptor
IL2 receptor alpha chain	Cytokine receptor
