Gene Sym	9-10-11 wga	15 wga	20-23 wga
SLC7A1	1301.71	1329.96	1587.65
CLPB	371.29	486.56	503.92
IDI2	638.09	638.22	640.05
PRSS8	808.82	1100.61	1135.06
ZNF706	1963.85	2119.70	2418.86
C17orf56	241.34	244.55	344.34
B2M	19521.83	19480.25	22160.30
THBS2	2525.22	2414.55	3099.11
PTP4A1	1807.15	1832.90	1999.18
BACH2	503.63	481.06	559.56
MDH1B	358.11	386.22	475.53
C20orf108	2256.58	2563.19	3055.04
DHRS4	1227.54	1302.35	1434.39
ANGPTL1	552.20	629.35	739.64
GATA2	344.37	395.56	496.66
RGN	350.49	505.67	702.70
TAZ	494.64	540.61	649.00
FBXL3	1527.56	1705.01	1894.81
SLC22A5	866.37	993.66	1129.29
PCYT1B	885.39	1047.03	1191.12
ITM2A	4425.99	4789.09	6126.45
NDRG2	1307.46	1560.90	1782.67
PLCG2	504.70	638.30	749.84
HR	433.25	450.79	570.99
STAT4	552.61	728.97	832.24
EEF2K	1112.74	1209.49	1260.22
WHSC2	542.57	638.74	687.82
GRK5	597.61	595.84	685.22
EGLN1	1313.35	1309.31	1430.51
KCNMA1	893.51	1480.06	1668.53
NFIA	1241.01	1231.81	1383.93
RHCE	119.93	107.43	288.85
LPXN	759.28	1064.73	1153.55
CXCL9	279.69	302.53	424.78
ART1	269.41	285.26	385.13
KLHL18	692.27	720.30	777.33
SLC12A1	121.03	147.32	199.88
REPS2	327.13	437.23	592.88
CD79A	209.84	326.99	476.01
FGD2	1010.98	948.09	1429.00
CLK2	1568.50	1667.59	1779.28
XK	292.63	359.49	425.72
SIPA1L2	802.49	921.71	1002.45
SCNN1A	213.69	292.74	429.76
LDB1	404.36	440.24	501.61
S100A9	415.84	545.99	767.02
BCAN	539.20	577.24	661.60
MAZ	1029.14	1091.68	1245.08
PGLYRP4	341.26	405.94	565.57
ZNF23	193.38	223.16	306.43
CSNK1D	998.60	1137.85	1293.20
ROD1	1312.18	1325.32	1380.00
C9orf16	840.32	842.59	852.11
CPA3	395.54	716.04	1057.87
RIPK3	221.39	298.44	359.74
CEP72	154.59	156.90	187.28
DENND1C	308.77	438.34	524.71
ADCK1	398.52	510.23	580.40
PPM1K	302.01	481.66	584.12
GRK5	597.61	595.84	685.22
EPB41	715.33	836.56	899.46
BACE2	933.95	1232.95	1374.79
DENND4B	987.03	976.65	1183.53
SPIN3	404.38	487.38	519.94
FXYD3	720.54	1072.82	1160.43
CACNA1D	673.26	856.30	894.82
DNAJB13	198.49	299.57	326.24
CCKBR	389.60	592.47	631.30
RASGRP2	75.58	198.77	251.69
SREBF2	271.50	413.54	476.53
ORMDL3	965.99	1431.66	1462.29
DTX1	310.32	816.85	849.72
MEN1	1008.76	1196.75	1208.27
CLK3	657.21	795.54	803.46
IL22RA1	284.03	1251.88	1296.45
PEX16	1247.27	1439.31	1539.04
TFF3	856.20	1724.83	2200.50
RAB17	407.48	528.24	528.49
THRA	460.91	547.02	545.47
COQ4	532.89	719.02	715.61
GPR172A	365.98	402.92	425.69
SHB	427.78	585.43	575.44
HDAC11	493.71	755.16	734.64
DBNDD2	716.92	809.07	875.85
TCL1A	206.56	587.32	863.34
PGF	1669.47	2240.43	2664.92
ARF5	2745.78	3615.58	3539.86
DNPEP	706.90	788.26	850.63
BZRAP1	228.44	468.81	444.94
PLCXD2	200.46	340.05	319.01
ADORA1	155.53	397.25	358.63
PIM3	899.98	1074.80	1241.66
UCK1	980.56	1074.38	1171.71
KIAA1407	545.67	866.97	798.60
FLOT1	2405.43	2791.60	2705.20
UNC13B	2252.33	2887.70	2743.52
C9orf86	670.06	825.78	789.44
HRBL	182.89	226.69	281.15
FZR1	432.50	503.91	597.51
SAP130	1024.97	1116.68	1093.07
REG3G	2930.15	13648.80	10885.30
GGA1	2665.04	2983.92	2901.23
MAML3	495.80	875.27	774.58
ZNF580	788.43	1391.53	1227.73
ARHGAP29	4345.20	3840.38	3151.61
EXT2	1467.20	1431.73	1378.49
BRWD1	593.35	575.59	554.98
SMARCA4	1692.19	1486.68	1248.49
OSGEP	541.21	461.73	321.54
WDR59	1276.80	1238.00	1196.20
POLR2L	7940.52	7225.69	6476.20
MRPS2	960.06	902.05	847.45
C11orf57	736.23	639.90	553.04
CDC23	2446.71	1917.64	1517.71
HDHD1A	1540.37	1272.19	1084.89
CCT6A	2656.50	2199.46	1885.06
TSPYL5	3500.71	2890.25	2475.45
GLB1	3158.99	3057.52	2686.84
PDGFRL	819.49	761.56	536.96
FRY	1054.40	898.45	813.65
UHRF1	2305.60	1560.85	1188.64
PHF6	1678.04	1340.19	1177.47
IPO7	2851.85	2624.92	2519.16
TIGD2	726.47	522.45	434.04
DPYSL4	242.92	145.82	104.71
TMED5	1866.29	1840.23	1565.97
OAT	3450.98	3095.50	2968.44
KIAA0090	542.59	402.67	353.51
PIK3C3	787.85	781.16	670.52
SPTLC1	2842.37	2473.43	2364.49
CLDN6	873.09	324.93	176.54
C18orf21	1004.17	1003.91	855.79
PJA1	2427.71	2429.72	2059.03
B4GALT3	1257.70	1259.36	1127.25
NXT2	999.77	756.79	697.94
PSMC6	3341.12	2397.89	2179.71
PPCS	1303.88	1312.13	1024.09
RND3	3637.96	2324.56	2030.77
TCEAL2	605.04	753.20	961.85
REPS2	327.13	437.23	592.88
ZCCHC8	1580.89	1652.54	1777.70
WWC3	1011.57	1188.72	1365.92
RNF103	1675.38	1805.07	2086.71
C19orf36	138.08	213.63	283.89
PLCH1	404.21	536.65	645.83
ADCK1	398.52	510.23	580.40
MLLT6	574.34	761.62	874.00
SKIL	183.05	238.10	503.59
STXBP5L	302.08	319.01	403.54
NMI	995.58	1044.62	1290.28
TMPRSS13	104.92	126.34	235.30
EVI2B	292.17	341.48	593.23
VPS13A	735.37	1014.31	1140.03
ADAM21	259.37	273.14	381.31
DCP1B	770.50	820.15	840.58
ZNF236	820.95	948.75	984.06
AQP3	209.43	209.83	405.47
NUP210	321.73	492.40	536.67
ZXDC	477.66	561.02	581.27
LYCAT	1450.28	1796.62	1875.03
ZFYVE21	1076.56	1061.11	1093.73
SLC31A1	494.38	372.84	624.25
IL27RA	316.67	204.92	474.17
GNL3L	267.12	214.57	317.46
BLK	198.96	158.03	264.34
PPARD	1078.53	994.54	1140.95
NME6	483.96	453.07	555.03
ALB	710.47	57.05	2433.25
KIAA0892	1022.16	988.81	1173.17
MYO5A	688.09	608.69	716.63
FGL2	196.81	191.05	447.72
HOXD1	406.64	288.91	424.19
UBTF	697.83	665.50	722.59
CTSK	1201.40	1116.98	1277.99
BRMS1L	1085.98	1005.89	1173.77
RSBN1	1320.28	1268.45	1380.55
SYNE2	1295.79	1225.22	1380.32
CPOX	1053.39	872.68	1304.00
NME6	483.96	453.07	555.03
TBX19	1527.32	1468.27	1665.75
FGD5	571.16	507.75	579.88
LTV1	1096.36	1075.82	1158.16
RASSF2	1016.20	712.76	1035.80
SIT1	113.18	58.30	315.69
EPHA1	585.95	582.14	618.73
HMHA1	182.11	171.69	305.25
DENND4B	987.03	976.65	1183.53
TIMM22	687.36	646.53	765.08
FBXL17	501.10	511.29	708.50
HIRA	488.61	494.98	581.08
C1orf210	640.76	686.43	1074.55
C16orf5	533.32	548.04	665.10
DPYSL5	148.64	123.68	181.76
STRN3	1499.00	1426.86	1591.68
C9orf58	1407.93	1257.51	1257.41
SLBP	2899.48	1908.22	1925.90
CAMK2D	1263.17	1221.25	1222.02
RYK	1565.25	1092.60	1078.14
TPM3	8184.91	6579.99	6516.60
DHRS7B	845.69	732.44	727.17
KIF23	544.36	243.19	220.53
C1orf43	4345.09	3931.08	3969.16
ARID4A	587.37	495.91	504.88
SUSD1	773.28	709.00	715.73
C20orf20	663.91	506.26	522.98
TATDN1	2433.38	1622.22	1720.30
PRAF2	1030.67	817.42	789.25
MAP3K7IP2	1729.81	1288.51	1346.98
TPM3	728.48	317.29	377.00
CAPZB	2601.07	2389.37	2426.90
PDCD2	575.49	439.50	408.84
MXRA5	3653.78	2561.64	2305.58
GPC3	3081.79	1682.20	1351.46
BOC	1972.87	1151.59	955.47
KBTBD2	956.77	615.31	688.46
CHEK1	677.27	428.50	364.32
BCL2L12	653.71	387.28	310.11
GSTT1	647.63	513.37	471.54
COLEC12	1528.28	1049.20	1178.25
RAB32	1450.81	889.52	1043.53
PRIMA1	607.60	219.79	330.37
CNO	962.08	758.71	677.75
CTSC	1631.35	1164.74	1305.15
TRIP6	1215.54	933.71	812.01
ALS2	1485.66	1291.72	1207.71
BNC2	883.29	682.62	746.31
MCM6	4257.67	3010.48	2440.89
C20orf24	4291.54	3710.48	3899.28
C7orf25	545.24	355.50	267.41
SEPW1	10771.23	9614.91	9062.36
PDZD11	3566.24	3006.93	2730.69
CRTAP	1875.98	1600.69	1697.68
PSMA4	7342.69	5672.74	4778.16
PRRG1	641.11	450.89	523.70
GLO1	8083.94	6535.55	5513.14
ZNF654	513.34	356.58	424.02
SC5DL	1550.84	1466.78	1503.78
PITPNC1	362.85	460.43	555.11
CAMK1D	720.22	839.05	936.06
MAN2A1	1493.96	1759.13	1966.85
LAMP2	1422.14	1613.55	1815.31
FLCN	216.80	298.98	350.72
TAGAP	108.99	190.50	295.60
UBXD4	1792.84	2233.13	2446.21
KCNK10	201.93	225.20	267.15
COX10	995.70	1187.41	1265.15
RNF103	1675.38	1805.07	2086.71
ZNF430	1103.23	1139.24	1276.24
ZCCHC4	376.74	400.12	491.34
PTPRC	281.43	374.94	886.08
AGMAT	302.63	311.11	363.50
CLK3	657.21	795.54	803.46
MBD2	686.92	803.01	809.27
C1orf210	640.76	686.43	1074.55
FGD2	1010.98	948.09	1429.00
IQCE	699.50	675.71	859.38
MTRR	935.14	918.86	1057.81
ITGB2	302.98	264.75	413.75
DOCK9	606.12	548.10	770.97
FZD6	1413.91	1415.65	1480.11
IKBKB	935.65	950.15	1220.13
ACO1	1760.26	1821.34	2115.51
SERPINA5	1264.29	1359.11	1761.52
VAMP8	2394.76	2521.19	2815.79
SLC6A13	322.92	354.62	423.02
POLQ	636.60	396.39	520.99
BLOC1S1	1943.00	1618.54	1783.49
SEPT8	2946.17	2632.68	2811.66
MED28	1600.74	1095.43	1317.31
SLC35B1	2288.45	1824.49	2143.88
MRC1	1793.44	865.08	1108.06
ECHDC1	1624.53	1182.29	1293.62
ZBTB10	692.61	415.13	481.78
TAF5	731.54	677.57	687.35
FXYD5	978.06	720.38	946.27
CPSF1	1211.09	1094.62	1109.60
RTTN	692.60	634.67	642.08
MBD3	774.48	810.66	839.68
PHC3	1754.76	1905.55	2043.48
INSM1	1905.05	3152.63	3682.28
PTPRN2	941.70	1254.45	1544.83
ZFYVE19	364.66	444.54	468.56
KIAA0284	842.82	1162.80	1241.24
CPNE5	357.31	385.84	445.49
