Genebank	Gene Symbol(s)	Chromosome location	Expression in tumor tissue MA data	Expression in published results	Quantification technique a	Reference
U21090	POLD2	7	+	+	MA	Ono et al. (2000)
U33286	CSE1L CAS	20q13	+	+	IHC	Brustmann et al. (2004); Peiro et al. (2002)
X12876	KRT18	12q13	+	+	MA	Adib et al. (2004)
M74093	CCNE1	19q12	+	+	IHC, SQ-PCR, SB, NB, FISH	Schraml et al. (2003); Milde-Langosch et al.(2003); Farley et al. (2003); Sui et al. (2001); Rosenberg et al. (2001); Sawiris et al. (2002); Sui et al. (1999); Marone et al. (1998); Courjalet al. (1996)
X74929	KRT8	12q13	+	+	MA	Welsh et al. (2001); Adib et al. (2004); Shridharet al. (2001); Wang et al. (1999)
Y00503	KRT19	17q21	+	+	MA	Welsh et al. (2001); Adib et al. (2004)
				-	MA	Ismail et al. (2000)
M16937	HOXB7 HOX2C	17q21?q22	+	+	RT?PCR, WB, ELISA	Naora, et al. (2001)
HG2259	TUBA	12	+	-	MA	Sawiris et al. (2002);
M61916	LAMB1	7q22	+	+	IHC	Kohlberger et al. (2002)
X13794	LDHB	12p12.2?p12.1	+	+	LDH activity	Schneider et al. (1997); Yuce et al. (2001); Boran et al. (2000); Halperin et al. (1999)
M13955	KRT7 SCL	12q12?q21	+	+	MA	Welsh et al. (2001)
U65579	NDUFS8 TYKY	11q13	+	+	MA	Martoglio et al. (2000); Manderson et al.(2002); Shridhar et al. (2001)
X87176	HSD17B4 DB	5q21	+	+	IHC	Sasano et al. (1996)
M23263	AR DHTR	Xq11.2?q12	-	-	RT?PCR, IHC	Lau et al. (1999); Slotman et al. (1991); Slotman et al. (1990)
J04177	COL11A1	1p21	-	+	MA	Matei et al. (2002); Ismail et al. (2000)
U25988	PSG11 PSG13	19q13.2	-	+	IHC	Blaustein et al. (1982)
HG2147	MUC3		-	-	NB, RT?PCR	Giuntoli et al. (1998); Tamada et al. (1999)
M24485	GSTP1 GST3 FAEES3	11q13	-	+	MA, ELISA	Martoglio et al. (2000); Boss et al. (2001)
D87017		22q11.1?q11.2	-	-	MA	Shridhar et al. (2001)
				+	MA	Adib et al. 2004
X53416	FLNA FLN1 ABP280	Xq28	-	-	MA	Sawiris et al. (2002)
S52969	MMP2 CLG4A	16	-	+	IHC	Garzetti et al. (1999)
U67092	ATM	11	-	-	IHC	Hashiguchi et al. (2004)
HG4069-HT4339_s_at	SCYA2 MCP1 MCAF	17	-	-	IHC	Negus et al. (1998)
				+	MA, ELISA, RT?PCR, IS	Hefler et al. (1999); Negus et al. (1997); Neguset al. (1995)
X68733	SERPINA3 AACT	14q32.1	-	+	IHC	Harlozinska-Szmyrka et al. (1986); Hutchinsonet al. (2003); Yu et al. (1995)
HG4272-HT4542	MET HGFR RCCP2	7q31	-	-	IF	Huntsman et al. (1999)
				+	MA, SB, WB, RT?PCR, IHC, IS	Maggiora et al. (2003); Tapper et al. (2001); Di Renzo et al. (1994); Moghul et al. (1994)
U32907	P37NB	7q22.1?7q31.33	-	+	MA	Ismail et al. (2000)
