Network id	Genes	Top functions
1	ACSL1	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	ADAMTS5	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	AGC1	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	ASPN	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	CAV1	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	CCND3	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	CDKN1A	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	COL11A1	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	COL11A2	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	COL2A1	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	CTF1	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	FBXO7	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	FXYD1	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	GJB2	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	GNAO1	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	HOXA10	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	IAPP	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	MMP17	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	NKX2-2	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	P53CP	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	PDGFRA	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	PPFIBP1	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	RECK	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	S100A1	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	S100A4	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	S100A6	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	S100B	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	SNAI2	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	SREBF1	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	STAT5A	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	TFPI	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	TIMP2	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	TIMP3	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	TUBB3	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
1	UCP2	Cellular Assembly  and Organization, Cellular Function and Maintenance, Connective Tissue Development and Function
2	ABLIM3	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	ACLY	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	ARFGAP3	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	CAV1	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	CCND3	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	CD2	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	CDKN1A	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	CDKN2A	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	CXCL14	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	DECR1	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	EHD3	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	FGF2	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	FGFR3	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	GPNMB	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	GRIA1	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	GRIA3	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	HLA-A	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	HMGB2	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	IFNG	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	ITGB3	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	KCNK1	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	KIAA1276	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	MDM2(includes EG:246362)	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	MLANA	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	NFYB	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	PCSK2	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	PDGFRA	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	RAB3C	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	SILV	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	SLIT3	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	STAT5A	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	TCFL5	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	TENC1	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	TIMP2	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
2	TIMP3	Cancer, Cellular Growth and Proliferation, Cardiovascular System Development and Function
3	AP1S2	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	AP2B1	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	CAPG	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	CCND3	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	CCT5	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	CD82	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	CD1D	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	CGI-38	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	CHI3L1	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	CHST6	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	CSPG4	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	EMP3	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	ENPP1	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	FABP5	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	GP5	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	HSPA1B	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	IL3	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	IL4	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	IL1B	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	LGALS2	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	MBP	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	MIA	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	MMP16	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	MYO1C	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	P2RX7	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	PCSK2	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	PLB1	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	PLCD1	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	PRKCA	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	SCG5	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	SLC1A1	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	SNCA	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	SPI1	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	TGM2	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
3	TIMP2	Cellular Assembly and Organization, Cell-To-Cell Signaling and Interaction, Cellular Growth and  Proliferation
4	ADAM28	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	ANXA6	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	ARHGEF6	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	BGN	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	CAV1	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	CCND3	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	CNTN1	Cell Morphology, Nervous System Development and Function, Developmental Disorder
4	CPXM2	Cell Morphology, Nervous System Development and Function, Developmental Disorder
