Accession number	Gene	Differential expression	Expression
 U20391	FOLR1	11.1	Down-regulated gene
 X69516	FOLR2	5.1	Down-regulated gene
 BE536069	S100P	4.9	Down-regulated gene
 D26070	IP3R1	4.9	Down-regulated gene
 NM_000804	FOLR3	4.8	Down-regulated gene
 BF224187	NPR3	3.8	Down-regulated gene
 AF153609	SGK	3.5	Down-regulated gene
 BF312905	CTSB	3.1	Down-regulated gene
 BF337264	CLU	3	Down-regulated gene
 AF007144	DIO2	-4.2	Up-regulated gene
 U03877	EFEMP1	-4	Up-regulated gene
 NM_006113	VAV3	-3.5	Up-regulated gene
 M18767	C1S	-3.1	Up-regulated gene
