Category	Symbol	Fold change (mean ± SD) Day 1	Fold change (mean ± SD) Day 3	Fold change (mean ± SD) Day 7	Fold change (mean ± SD) Day 11	Fold change (mean ± SD) Day 16
Fibrosis		0.931 ± 0.327	1.251 ± 0.056	1.942 ± 0.000	2.064 ± 0.071	1.994 ± 0.237
Fibrosis	Ctgf	1.969 ± 0.840	1.415 ± 0.512	1.337 ± 0.619	0.649 ± 0.961	0.804 ± 0.505
Fibrosis	Tgfb1i4	0.025 ± 0.170	1.397 ± 0.303	1.332 ± 0.529	0.492 ± 0.338	0.802 ± 0.469
Fibrosis	Tgfb1i1	0.516 ± 0.317	0.750 ± 0.180	0.791 ± 0.157	1.202 ± 0.176	0.755 ± 0.368
Fibrosis	Tgfb1	-0.221 ± 0.426	ND	0.456 ± 0.322	ND	ND
Growth/apoptosis	Tnfa	-0.218 ± 0.428	0.317 ± 0.022	0.299 ± 0.193	0.267 ± 0.231	-0.022 ± 0.141
Growth/apoptosis	Pdgfa	0.121 ± 0.338	1.278 ± 0.120	0.907 ± 0.143	1.182 ± 0.104	0.306 ± 0.623
Growth/apoptosis	Egf	-0.434 ± 0.104	-1.630 ± 0.251	-2.318 ± 0.136	-1.617 ± 0.221	-1.702 ± 0.166
Monocyte	Scya2	0.499 ± 0.056	2.783 ± 0.052	2.699 ± 0.278	3.009 ± 0.151	3.025 ± 0.296
Monocyte	IL-1b	0.537 ± 0.055	0.652 ± 0.016	0.851 ± 0.785	1.472 ± 0.264	1.626 ± 0.020
Monocyte	IL-6	0.563 ± 0.036	1.300 ± 0.919	1.117 ± 0.789	2.722 ± 0.094	2.140 ± 1.513
Monocyte	Scya6	ND	0.352 ± 0.250	1.529 ± 0.964	1.063 ± 0.164	2.031 ± 0.452
Monocyte	Gcr1	ND	1.319 ± 0.932	1.786 ± 0.110	1.366 ± 0.558	1.878 ± 0.545
Monocyte	Scya5	0.385 ± 0.353	1.144 ± 0.004	1.274 ± 0.066	1.091 ± 0.268	0.479 ± 0.153
Monocyte	Ccr5	1.036 ± 0.599	1.422 ± 1.006	1.880 ± 0.310	1.916 ± 0.173	1.821 ± 0.229
T cell/B cell	Tnfsf5	0.179 ± 0.208	0.245 ± 0.276	0.779 ± 0.016	0.652 ± 0.242	-0.113 ± 0.110
T cell/B cell	IL-2	0.405 ± 0.182	0.082 ± 0.062	-0.055 ± 0.348	-0.369 ± 0.087	-0.092 ± 0.177
T cell/B cell	IL-10	0.212 ± 0.170	-0.261 ± 0.185	-0.482 ± 0.340	-0.514 ± 0.304	0.671 ± 0.001
T cell/B cell	IL-4	ND	0.219 ± 0.154	0.369 ± 0.261	0.359 ± 0.208	ND
T cell/B cell	IL-17	-0.538 ± 0.175	-0.639 ± 0.063	-0.957 ± 0.312	-1.212 ± 0.101	0.576 ± 0.613
T cell/B cell	IL-18	-0.068 ± 0.040	-0.036 ± 0.088	-0.215 ± 0.048	0.061 ± 0.198	0.365 ± 0.133
T cell/B cell	IL-15	-0.827 ± 0.071	-1.078 ± 0.156	-1.549 ± 0.118	-1.336 ± 0.248	-1.626 ± 0.108
T cell/B cell	IL-5	-0.413 ± 0.081	-0.104 ± 0.185	0.291 ± 0.319	0.023 ± 0.134	0.016 ± 0.062
