Name	Symbol	Day 7 unsorted	Day 17 unsorted	3.6GFPneg	3.6GFPpos
Actin, alpha 1, skeletal muscle	Acta1	1,779	309	1,573	420
Actin, alpha, cardiac	Actc1	1,116	30	1,108	14
Clusterin	Clu	1,604	986	1,569	505
Myoglobin	Mb	263	103	243	76
Matrix metalloproteinase 3, stromelysin-1	Mmp3	5,563	1,012	5,381	1,088
Myosin, heavy polypeptide 3, skeletal muscle, embryonic	Myh3	183	24	127	12
MLC1F/MLC3F gene for myosin alkali light chain	My11	1,868	241	2,068	344
Myosin light chain, alkali, cardiac atria	Myla	1,360	234	1,406	311
Nik-related kinase	Nrk	397	126	419	61
Troponin C, cardiac/slow skeletal	Tncc	811	55	929	136
Troponin T2, cardiac	Tnnt2	281	160	294	104
