Gene	Fold increase
1700042ORik	45.5
Lmo1	12.6
Dtx1	10.2
4930550C14Rik	14.4
Saa3	8.4
Ccl8	8.2
2010005H15Rik	7.7
Aldh1b1	6.9
7420701I03Rik	5.9
2300002D11Rik	5.9
Igk-V	5.9
Tcrb-V13	5.7
Eif3s9	5.6
Parvg	5.6
Bst1	5.4
Tars	5.1
Ddx46	4.9
Ccl21b	4.8
Eaf1	4.6
Olig3	4.6
2610511O17Rik	4.5
2610510E10Rik	4.5
Gzma	4.4
Phgdh	4.3
Tfrc	4.3
Rapgef2	4.2
Eef2	4.0
2010308M01Rik	4.0
4632417K18Rik	3.8
Fkbp5	3.7
D17H6S56E-3	3.7
Slc38a1	3.7
Pgd	3.6
Rwdd2	3.6
Ralgds	3.6
Adcy3	3.5
Cd53	3.5
Stip1	3.5
Notch1	3.5
Angpt1	3.5
Tagln2	3.5
C330013E15Rik	3.4
Gsr	3.4
Fubp1	3.4
Mtap	3.3
6330415M09Rik	3.3
5330440M15Rik	3.3
Ar	3.2
Mtdh	3.2
Ppm1g	3.2
Catnb	3.2
2010001M07Rik	3.2
Lyar	3.1
E130201H02Rik	3.1
2810022L02Rik	3.1
2610005L07Rik	3.1
Ptcra	3.1
1810003N24Rik	3.0
Oact2	3.0
