Gene symbol	Gene name	dscore
GAL	Galanin	8.1
POU5F1	POU domain, class 5, transcription factor 1	7.8
NANOG	Nanog homeobox	6.8
DPPA4	Developmental pluripotency associated 4	6.7
MT1H	Metallothionein 1H	6.6
FLJ10884	Hypothetical protein FLJ10884	6.3
BCAT1	Branched chain aminotransferase 1, cytosolic	5.9
DNMT3B	DNA (cytosine-5)-methyltransferase 3?	5.9
APEH	N-acylaminoacyl-peptide hydrolase	5.8
MRS2L	MRS2-like, magnesium homeostasis factor (Saccharomyces cerevisiae)	5.7
JARID2	Jumonji, AT-rich interactive domain 2	5.7
VSNL1	Visinin-like 1	5.6
MT2A	Metallothionein 2A	5.5
MT1F	Metallothionein 1F (functional)	5.4
DNMT3L	DNA (cytosine-5)-methyltransferase 3-like	5
