Official Gene Symbol	Gene symbol 	 Accession no. 	 Gene name 	 0 h 	 6 h 	 16 h 	Functional Category
IL1b	IL-1beta	 NM_000576 	  Interleukin 1, beta  	  —  	  -3.48 	  -2.00 	 Cytokines 
IL1b	IL-1beta	  M15330  	  Interleukin 1, beta  	  —  	  -3.03 	  	 Cytokines 
IL3	IL-3	 NM_000588 	  Interleukin 3 (colony-stimulating factor, multiple)  	  —  	  -12.13 	  -5.66 	 Cytokines 
IL4	IL-4	 NM_000589 	  Interleukin 4  	  —  	  -6.50 	  -3.73 	 Cytokines 
IL4	IL-4	 NM_000589 	  Interleukin 4  	  —  	  -8.00 	  -4.00 	 Cytokines 
IL5	IL-5	 NM_000879 	  Interleukin 5 (colony-stimulating factor, eosinophil)  	  —  	  -17.15 	  -8.00 	 Cytokines 
IL9	IL-9	 NM_000590 	  Interleukin 9  	  —  	  -6.96 	  -548.75 	 Cytokines 
IL10	IL-10	 NM_000572 	  Interleukin 10  	  —  	  -16.00 	  -27.86 	 Cytokines 
IL13	IL-13	 NM_002188 	  Interleukin 13  	  —  	  -3.73 	  -3.48 	 Cytokines 
IL15	IL-15	 NM_000585 	  Interleukin 15  	  -2.83 	  -3.48 	  -2.14 	 Cytokines 
IL16	IL-16	 NM_004513 	  Interleukin 16 (lymphocyte chemoattractant factor)  	  —  	  3.48  	  3.03  	 Cytokines 
IL16	IL-16	  M90391  	  Interleukin 16 (lymphocyte chemoattractant factor)  	  —  	  2.83  	  2.64  	 Cytokines 
IL17	IL-17	  Z58820  	  Interleukin 17 (cytotoxic T-lymphocyte-associated serine esterase 8)  	  —  	  -84.45 	  -675.59 	 Cytokines 
IL21	IL-21	 NM_021803 	  Interleukin 21  	  —  	  -7.46 	  -8.00 	 Cytokines 
IL22	IL-22	 NM_020525 	  Interleukin 22  	  —  	  -13.00 	  -27.86 	 Cytokines 
IL22	IL-22	  AF279437 	  Interleukin 22  	  —  	  -39.40 	  -512.00 	 Cytokines 
IL26	IL-26	 NM_018402 	  Interleukin 26  	  —  	  —  	  -207.94 	 Cytokines 
IL1RN	IL-1RN	  BE563442  	  Interleukin 1 receptor antagonist 	  —  	  -2.00 	  —  	 Cytokine receptors 
IL1RN	IL-1RN	  AW083357 	  Interleukin 1 receptor antagonist 	  —  	  -2.46 	  —  	 Cytokine receptors 
IL1RN	IL-1RN	  AW083357 	  Interleukin 1 receptor antagonist 	  —  	  -2.30 	  —  	 Cytokine receptors 
Il1r1	IL-1R1	 NM_000877 	  Interleukin 1 receptor, type 1  	  —  	  -2.30 	  -2.00 	 Cytokine receptors 
Il1r2	IL-1R2	 NM_004633 	  Interleukin 1 receptor, type II  	  —  	  -3.48 	  —  	 Cytokine receptors 
Il1r2	IL-1R2	  U64094  	  Interleukin 1 receptor, type II  	  —  	  —  	  -2.64 	 Cytokine receptors 
IL2RA	IL-2Ralpha	 NM_000417 	  Interleukin 2 receptor, alpha  	  -2.14 	  —  	  —  	 Cytokine receptors 
IL2RB	IL-2Rbeta	 NM_000878 	  Interleukin 2 receptor, beta  	  -2.83 	  -2.30 	  —  	 Cytokine receptors 
IL6R	IL-6R	 NM_000565 	  Interleukin 6 receptor  	  —  	  -2.46 	  —  	 Cytokine receptors 
IL6R	IL-6R	  S72848  	  Interleukin 6 receptor  	  —  	  —  	  -3.25 	 Cytokine receptors 
IL6R	IL-6R	  AV700030 	  Interleukin 6 receptor  	  —  	  -2.46 	  -4.59 	 Cytokine receptors 
IL7R	IL-7R	 NM_002185 	  Interleukin 7 receptor  	  —  	  —  	  -2.64 	 Cytokine receptors 
IL10RA	IL-10Ralpha	 NM_001558 	  Interleukin 10 receptor, alpha  	  -2.64 	  -4.29 	  -2.46 	 Cytokine receptors 
IL17BR	IL-17BR	  AF250309 	  Interleukin 17B receptor  	  —  	  -8.57 	  —  	 Cytokine receptors 
IL18R1	IL-18R1	 NM_003855 	  Interleukin 18 receptor 1  	  -2.30 	  —  	  —  	 Cytokine receptors 
IL18RAP	IL-18RAP	 NM_003853 	  Interleukin 18 receptor accessory protein  	  -6.06 	  -2.14 	  -2.83	 Cytokine receptors 
