Gene symbol	Unigene	Gene name
 CYCSa	Hs.437060	Cytochrome c, somatic
 DDX3a	Hs.380774	DEAD (Asp–Glu–Ala–Asp) box polypeptide 3
 EIF4Ea	Hs.79306	Eukaryotic translation initiation factor 4E
 ETF1a	Hs.77324	Eukaryotic translation termination factor 1
 FBXW2a	Hs.444354	F-box and WD-40 domain protein 2
 HSPA9Ba	Hs.184233	Heat shock 70 kDa protein 9B
 ITGA6a	Hs.212296	Integrin,  6
 KLF5a	Hs.84728	Kruppel-like factor 5
 MAP3K5a	Hs.151988	Mitogen-activated protein kinase kinase kinase 5
 OGTa	Hs.405410	O-linked N-acetylglucosamine (GlcNAc) transferase
 PFDN4a	Hs.91161	Prefoldin 4
 PPAP2Ba	Hs.432840	Phosphatidic acid phosphatase type 2B
 PPIDa	Hs.143482	Peptidylprolyl isomerase D
 SCHIP1a	Hs.61490	Schwannomin interacting protein 1
 SLC12A2a	Hs.110736	Solute carrier family 12, member 2
 YWHAZa	Hs.386834	Tryptophan 5-monooxygenase activation protein
 ZNF216a	Hs.406096	Zinc-finger protein 216
 PPAP2Bb	Hs.432840	Phosphatidic acid phosphatase type 2B
 TIMP1b	Hs.446641	Tissue inhibitor of metalloproteinase 1
