Number	Symbol	Log2 (FC)	p value
1	ABCG2	-0.23	4.0 X 10^-1
2	ADAR	-0.01	9.7 X 10^-1
3	APC	-0.07	8.1 X 10^-1
4	AXIN1	0.51	1.5 X 10^-1
5	BMP1	-0.32	3.5 X 10^-1
6	BTRC	-0.12	6.0 X 10^-1
7	CCNA2	0.39	1.7 X 10^-1
8	CCND1	0.13	6.3 X 10^-1
9	CCNE1	0.13	7.9 X 10^-1
10	CDC2	0.63	2.5 X 10^-1
11	EP300	0.24	2.5 X 10^-1
12	FGF1	-0.76	9.2 X 10^-2
13	FGFR1	0.15	5.3 X 10^-1
14	GJB1	0.06	3.4 X 10^-1
15	IPF1	-0.01	1.5 X 10^-1
16	ISL1	-0.02	3.4 X 10^-1
17	MYST2	0.35	1.2 X 10^-1
18	NOTCH1	0.41	2.1 X 10^-1
19	NUMB	0.38	8.1 X 10^-2
20	PARD6A	-0.27	4.8 X 10^-1
21	RB1	-0.17	2.4 X 10^-1
