Probe set	Gene symbol	G0 molecular function	Fold change	Fold change (P)	Function
202580_x_at	FOXM1	RNA polymerase II transcription factor	?5.69	4.11E?06	Transcription
209187_at	DR1	DNA binding, transcriptional corepressor	?3.92	1.41E?04	Transcription
218490_s_at	ZNF302	DNA binding	?2.08	3.06E?03	Transcription
203536_s_at	CIAO1	transcriptional regulation	?1.85	1.69E?03	Transcription
209786_at	HMGN4	DNA binding	?1.80	2.01E?03	Transcription
204080_at	TOE1	transcriptional repressor activity	?1.71	4.68E?05	Transcription
205062_x_at	RBBP1	chromatin binding, transcription factor	1.7	5.28E?03	Transcription
209714_s_at	CDKN3	protein phosphatase	?2.10	1.66E?06	Cell cycle and chromosome segregation
201853_s_at	CDC25B	protein tyrosine phosphatase	?1.96	1.64E?04	Cell cycle and chromosome segregation
218755_at	KIF20A	ATP binding, motor, protein transporter	?1.78	6.22E?04	Cell cycle and chromosome segregation
211080_s_at	NEK2	kinase, cytokinesis, centrosome	?1.78	1.10E?03	Cell cycle and chromosome segregation
203418_at	CCNA2	cyclin-dependent protein kinase	?1.77	4.67E?04	Cell cycle and chromosome segregation
210821_x_at	CENPA	chromatin binding	?1.72	1.02E?03	Cell cycle and chromosome segregation
202382_s_at	GNPI	glucosamine-6-phosphate deaminase	?1.93	6.35E?03	Metabolism
205749_at	CYP1A1	cytochrome P450, oxidoreductase	?1.77	4.72E?03	Metabolism
217989_at	RETSDR2	oxidoreductase	?1.71	4.95E?04	Metabolism
205767_at	EREG	epidermal growth factor receptor ligand	1.73	3.09E?04	Cytokine
202859_x_at	IL8	chemokine, interleukin-8 receptor ligand	1.84	9.33E?03	Cytokine
209885_at	ARHD	GTP binding, GTPase	?2.64	5.69E?04	Other
219770_at	FLJ11753	glycosyltransferase-like	?2.58	2.25E?06	Other
204944_at	PTPRG	tyrosine phosphatase	?2.06	1.45E?03	Other
203414_at	MMD	macrophage maturation-associated	?1.88	2.00E?03	Other
203890_s_at	DAPK3	kinase, induction of apoptosis	?1.76	2.50E?05	Other
200699_at	RPL23	structural constituent of ribosome	?1.75	1.20E?03	Other
212702_s_at	BICD2	microtubule dynamics	?1.74	6.06E?04	Other
213478_at	KIAA1026	unknown	?1.73	8.85E?03	Other
202627_s_at	SERPINE1	plasminogen activator, serpin	?1.72	7.55E?04	Other
