Common name	Affymetrix ID	Fold Change in R1881	Fold Change in OCM
APPBP2	202630_at	4.584	0.61
ATAD2	218782_s_at	3.904	1.637
BM039	219555_s_at	7.041	1.601
BRE	212645_x_at	1.686	0.527
INSIG1	201625_s_at	3.831	1.56
KLK2	209854_s_at	31.36	1.85
KLK2	210339_s_at	21.6	2.18
KLK3	204583_x_at	5.377	1.559
MALT1	210018_x_at	3.938	2.004
OSR2	213568_at	0.298	0.424
PDE9A	205593_s_at	2.261	1.621
PDIR	203857_s_at	4.272	1.537
PIK3R1	212240_s_at	0.364	0.619
RAB3B	205924_at	5.305	1.837
SOCS2	203373_at	11.31	0.619
TNFRSF10B	210405_x_at	3.697	1.508
UAP1	209340_at	3.712	1.562
VEGF	211527_x_at	2.632	1.878
NA	215441_at	0.343	0.542
