AffyID	AverageRatio Contr/SCARKO	Gene Symbol
1436235_x_at	1.34	4732471D19Rik
1450973_s_at	1.33	Mapkbp1
1451718_at	1.33	Plp
1417594_at	1.33	Gkap42-pending
1451459_at	1.33	Elys-pending
1449048_s_at	1.33	Rab4a
1422443_at	1.33	Xpnpep1
1416432_at	1.33	Pfkfb3
1449307_at	1.32	2810427I04Rik
1421811_at	1.32	---
1451358_a_at	1.32	Racgap1
1428762_at	1.32	4921526G09Rik
1436874_x_at	1.32	Slc25a5
1424334_at	1.32	2210021G21Rik
1437642_at	1.32	A630095P14Rik
1416954_at	1.32	Slc25a10
1428340_s_at	1.31	1110012E06Rik
1425391_a_at	1.31	Osbpl5
1421835_at	1.31	Mtap7
1426449_a_at	1.31	Pja1
1427033_at	1.31	2410003M15Rik
1422484_at	1.31	Cycs
1452281_at	1.31	Sos2
1460287_at	1.31	Timp2
1439259_x_at	1.30	1110035H23Rik
1451209_at	1.30	2310081H14Rik
1433832_at	1.30	AI551766
1455372_at	1.30	Cpeb3
1422264_s_at	1.30	Bteb1
1449244_at	1.30	Cdh2
1419606_a_at	1.30	Tnnt1
1420411_a_at	1.29	Pi4k2b-pending
1418341_at	1.29	Rab4a
1428306_at	1.29	5830413E08Rik
1424125_at	1.29	Kcnk13
1419177_at	1.29	D8Ertd531e
1417859_at	1.29	Gas7
1448919_at	1.29	1110055L24Rik
1423127_at	1.29	Impa1
1426743_at	1.29	Dip3b-pending
1422869_at	1.29	Mertk
1418238_at	1.29	Ivd
1421836_at	1.29	Mtap7
1417136_s_at	1.29	Srpk2
1449717_at	1.29	---
1451707_s_at	1.29	1010001P06Rik
1418361_at	1.29	Gas8
1450103_a_at	1.29	Pscd2
1419706_a_at	1.29	Akap12
1417091_at	1.29	Chuk
1425439_a_at	1.28	1010001P06Rik
1417477_at	1.27	Gtlf3b
1449851_at	1.27	Per1
1449232_at	1.27	Gata1
1448603_at	1.27	Srpk2
1424016_at	1.27	2310007F21Rik
1417707_at	1.27	B230342M21Rik
1450376_at	1.27	Mxi1
1421923_at	1.27	Sh3bp5
1421602_at	1.27	Shbg
1424326_at	1.27	BC026588
1419176_at	1.27	D8Ertd531e
1426599_a_at	1.27	Slc2a1
1423905_at	1.27	D7Ertd458e
1452828_at	1.27	Fbxo21
1452461_a_at	1.27	Mafb
1456620_at	1.27	Mafb
1424440_at	1.27	Mrps6
1435924_at	1.27	Tfb1m
1438673_at	1.27	Slc4a7
1454959_s_at	1.27	Gnai1
1416148_at	1.27	Laptm4b
1436915_x_at	1.27	Laptm4b
1426818_at	1.27	Soat1
1416934_at	1.26	Mtm1
1422558_at	1.26	Gamt
1451716_at	1.26	Mafb
1425732_a_at	1.26	Mxi1
1450651_at	1.26	Myo10
1420905_at	1.25	Il17r
1449662_at	1.25	D6Ertd253e
1460672_at	1.25	2410002F23Rik
1419551_s_at	1.25	Stk39
1418884_x_at	1.25	Tuba1
1431058_at	1.25	2600017A12Rik
1416679_at	1.25	Abcd3
1418709_at	1.25	Cox7a1
1454633_at	1.25	4930555L11Rik
1448104_at	1.25	Aldh6a1
1419254_at	1.25	Mthfd2
1452011_a_at	1.25	Uxs1
1420990_at	1.25	Chd1
1419430_at	1.25	Cyp26a1
1434889_at	1.25	A430081P20Rik
1416097_at	1.24	Nag14-pending
1419253_at	1.24	Mthfd2
1431020_a_at	1.24	1500031J01Rik
1430700_a_at	1.24	Pla2g7
1454760_at	1.24	2600017A12Rik
1451160_s_at	1.24	D7Ertd458e
1449078_at	1.24	Siat10
1452289_a_at	1.24	2410006N06Rik
1433750_at	1.24	Slc31a1
1426275_a_at	1.24	Uxs1
1417382_at	1.24	Entpd5
1436839_at	1.24	Cotl1
1424123_at	1.23	BC011209
1419866_s_at	1.23	Sca2
1460004_x_at	1.23	Stx6
1434499_a_at	1.23	Ldh2
1435335_a_at	1.23	Mafb
1416667_at	1.23	Ebp
1438365_x_at	1.23	Laptm4b
1420874_at	1.23	Ptk9
1418758_a_at	1.23	Pscd3
1415766_at	1.23	4930564D15Rik
1455026_at	1.23	9330180L10Rik
1450674_at	1.23	Cdk5
1417980_a_at	1.23	Insig2
1431805_a_at	1.23	Rhpn2
1431335_a_at	1.23	Wfdc1
1449914_at	1.23	2610028I09Rik
1417291_at	1.22	Tnfrsf1a
1421876_at	1.22	Mapk9
