miRNA	10-11 wga Average	13-14-15 wga Average	21-22 wga Average
hsa-miR-92	0.9389	0.5940	0.2850
hsa-miR-214	0.8681	0.4478	0.1989
hsa-miR-484	0.8054	0.2690	0.1428
hsa-miR-125a	0.5742	0.3661	0.3039
hsa-miR-335	0.4653	0.4184	0.1999
hsa-miR-218	0.4322	0.2414	0.0788
hsa-miR-99b	0.2942	0.2006	0.1408
hsa-miR-342	0.2232	0.1441	0.0996
hsa-miR-382	0.1876	0.1358	0.0498
hsa-miR-301	0.1677	0.0962	0.0389
hsa-miR-432	0.1627	0.1196	0.0367
hsa-miR-181b	0.1343	0.1061	0.0501
hsa-miR-323	0.1202	0.0744	0.0284
hsa-miR-103	0.1171	0.0491	0.0406
hsa-miR-21	0.1117	0.1057	0.0497
hsa-miR-130b	0.1116	0.0730	0.0505
hsa-miR-135b	0.0842	0.0586	0.0089
hsa-miR-182	0.0823	0.0394	0.0140
hsa-miR-181d	0.0701	0.0419	0.0255
hsa-miR-25	0.0589	0.0543	0.0268
hsa-miR-17-5p	0.0421	0.0243	0.0168
hsa-miR-296	0.0356	0.0153	0.0088
hsa-miR-135a	0.0304	0.0184	0.0073
hsa-miR-345	0.0290	0.0194	0.0090
hsa-miR-299-5p	0.0220	0.0178	0.0062
hsa-miR-18a	0.0135	0.0076	0.0025
hsa-miR-369-5p	0.0046	0.0035	0.0016
hsa-miR-519d	0.0045	0.0089	0.0012
hsa-miR-494	0.0039	0.0027	0.0011
hsa-miR-550	0.0037	0.0041	0.0018
hsa-miR-187	0.0030	0.0019	0.0003
hsa-miR-409-5p	0.0028	0.0025	0.0010
hsa-miR-380-5p	0.0017	0.0018	0.0003
hsa-miR-512-3p	0.0007	0.0012	0.0002
hsa-miR-96	0.0005	0.0006	0.0001
