Systematic Name	Common Name	GenBank ID	LLID	Description	Function
94912_at	Mrps21	NM_078479	66292	mitochondrial ribosomal protein S21	Mitochondrial proteins
96849_at	Timm8a	NM_013898	30058	translocase of inner mitochondrial membrane 8 homolog a	Mitochondrial proteins
97477_at	Timm8b	NM_013897	30057	translocase of inner mitochondrial membrane 8 homolog b	Mitochondrial proteins
160230_at	Cad	BC060119	12856	carbamoyl-phosphate synthetase 2	Enzymes
102423_at	Uxs1	NM_026430	67883	UDP-glucuronate decarboxylase 1	Enzymes
95611_at	Lpl	NM_008509	16956	lipoprotein lipase	Enzymes
102380_s_at	Hoxd4	NM_010469	15436	HoxD4	Transcription factor
103048_at	Nmyc1	NM_008709	18109	N-myc protein	Transcription factor
102395_at	Pmp22	NM_008885	18858	peripheral myelin protein	Cell cycle
95670_at	Stmn2	NM_025285	20257	stathmin-like 2	Cell signaling
95387_f_at	Sema4b	NM_013659	20352	semaphorin 4B	Cell signaling
93430_at	Cmkor1	NM_007722	12778	chemokine orphan receptor 1	Cell signaling
160544_at	Fabp5	NM_010634	16592	mal1; Mus musculus Fabpe gene	Transport
96735_at	Stard10	NM_019990	56018	serologically defined colon cancer antigen 28	Transport
100127_at	Crabp2	NM_007759	12904	cellular retinoic acid binding protein II	Transport
93333_at	Tbca	NM_009321	21371	tubulin cofactor a	Other
93088_at	B2m	NM_009735	12010	beta-2 microglobulin	Other
97250_at	Nola3	NM_025403	66181	nucleolar protein family A, member 3	Other
97374_at	2810025M15Rik	NM_027274	69953	RIKEN cDNA 2810025M15 gene	ESTs
104303_i_at	1500004O14Rik	NM_025901	67005	EST	ESTs
96068_at	1500034J20Rik	NM_028260	66541	RIKEN cDNA 1500034J20 gene	ESTs
94907_f_at	1110001J03Rik	NM_025363	66117	EST	ESTs
93539_at	1810004D07Rik	NM_181394		RIKEN cDNA 1810004D07 gene	ESTs
160444_at	2010319C14Rik	NM_024464	72084	RIKEN cDNA 2010319C14 gene	ESTs
161872_f_at	1110049G11Rik	NM_025410	66192	RIKEN cDNA 1110049G11 gene	ESTs
162466_at	1810004D07Rik	NM_181394		RIKEN cDNA 1810004D07 gene	ESTs
162301_f_at	2310016M24Rik	NM_183256	66379	RIKEN cDNA 2310016M24 gene	ESTs
92191_at	2810410A08Rik	XM_130324	75422	RIKEN cDNA 2810410A08 gene	ESTs
160872_f_at	2310008H09Rik	NM_023197	66356	RIKEN cDNA 2310008H09 gene	ESTs
103203_f_at	AA410048	CA322052	101449	EST	ESTs
