Term	MeanP	Genes
Chemotaxis	<0.001	Ccl2
Chemotaxis	<0.001	Fcgr3
Chemotaxis	<0.001	Itgb2
Chemotaxis	<0.001	Ccr1
Chemotaxis	<0.001	Itga1
Chemotaxis	<0.001	Opn
Chemotaxis	<0.001	Ccl12
Chemotaxis	<0.001	Cxcl4
Chemotaxis	<0.001	Ccl8
Chemotaxis	<0.001	Cxcl12
Chemotaxis	<0.001	Ear2
Chemotaxis	<0.001	Ccl11
Chemotaxis	<0.001	Ccl7
Chemotaxis	<0.001	Ccl6
Chemotaxis	<0.001	Ccl21b
Chemotaxis	<0.001	Ccl9
Chemotaxis	<0.001	Lsp1
Chemotaxis	<0.001	Ccr2
Chemotaxis	<0.001	Cxcl13
Chemotaxis	<0.001	Slit2
Chemotaxis	<0.001	Dock2
Chemokine activity	<0.001	Cxcl14
Chemokine activity	<0.001	Ccl2
Chemokine activity	<0.001	Cxcl9
Chemokine activity	<0.001	Ccl12
Chemokine activity	<0.001	Cxcl4
Chemokine activity	<0.001	Ccl8
Chemokine activity	<0.001	Cxcl12
Chemokine activity	<0.001	Ccl11
Chemokine activity	<0.001	Ccl6
Chemokine activity	<0.001	Ccl7
Chemokine activity	<0.001	Ccl21b
Chemokine activity	<0.001	Ccl9
Chemokine activity	<0.001	Cxcl13
Chemokine activity	<0.001	Ccl21a
Regulation of apoptosis	<0.001	Cidec
Regulation of apoptosis	<0.001	Fcgr3
Regulation of apoptosis	<0.001	Naip4
Regulation of apoptosis	<0.001	Mapk8ip1
Regulation of apoptosis	<0.001	Hells
Regulation of apoptosis	<0.001	Rarb
Regulation of apoptosis	<0.001	Pmaip1
Regulation of apoptosis	<0.001	Clec2d
Regulation of apoptosis	<0.001	Bcl2l11
Regulation of apoptosis	<0.001	Apip
Regulation of apoptosis	<0.001	Igf1
Regulation of apoptosis	<0.001	Thy1
Regulation of apoptosis	<0.001	9030416C10Rik
Regulation of apoptosis	<0.001	Ifi204
Regulation of apoptosis	<0.001	Igh-4
Regulation of apoptosis	<0.001	Ptprc
Regulation of apoptosis	<0.001	Stk17b
Regulation of apoptosis	<0.001	Fcgr1
Regulation of apoptosis	<0.001	Gdf5
Regulation of apoptosis	<0.001	Btg2
Regulation of apoptosis	<0.001	Myc
Regulation of apoptosis	<0.001	Fgfr3
Regulation of apoptosis	<0.001	Opn
Regulation of apoptosis	<0.001	4933405K19Rik
Regulation of apoptosis	<0.001	Zbtb16
Regulation of apoptosis	<0.001	Snai2
Regulation of apoptosis	<0.001	Aldh1a1
Regulation of apoptosis	<0.001	Plekhf1
Regulation of apoptosis	<0.001	S100b
Regulation of apoptosis	<0.001	Casp7
Regulation of apoptosis	<0.001	Traf4
Regulation of apoptosis	<0.001	Angptl4
Regulation of apoptosis	<0.001	Cebpb
Regulation of apoptosis	<0.001	Ripk3
Regulation of cell migration	0.002	Egfl7
Regulation of cell migration	0.002	Thy1
Regulation of cell migration	0.002	Trip6
Regulation of cell migration	0.002	Pecam1
Regulation of cell migration	0.002	Tek
Regulation of cell migration	0.002	Lama2
Regulation of cell migration	0.002	Cxcl12
Regulation of cell migration	0.002	Ccr2
Regulation of cell migration	0.002	Map3k1
Regulation of cell migration	0.002	Pdpn
Ossification	0.003	Ahsg
Ossification	0.003	Dmp1
Ossification	0.003	Pthrp
Ossification	0.003	Ptger4
Ossification	0.003	Smo
Ossification	0.003	Opn
Ossification	0.003	Ifi204
Ossification	0.003	Mgp
Ossification	0.003	Ear1
Ossification	0.003	Ear2
Ossification	0.003	P2rx7
Ossification	0.003	Foxc1
Cell growth	0.005	Socs2
Cell growth	0.005	4432404P07Rik
Cell growth	0.005	Igfbp4
Cell growth	0.005	Esr1
Cell growth	0.005	Fstl2
Cell growth	0.005	Ing3
Cell growth	0.005	Igfbp2
Cell growth	0.005	Nov
Cell growth	0.005	Chpt1
Cell growth	0.005	Ndn
Cell growth	0.005	Nedd9
Cell growth	0.005	Igfbp6
Cell growth	0.005	Cyr61
Acylglycerol metabolism	0.014	Pck1
Acylglycerol metabolism	0.014	Mttp
Acylglycerol metabolism	0.014	Hpic53
Acylglycerol metabolism	0.014	Lipe
Acylglycerol metabolism	0.014	Cav1
Regulation of ossification	0.028	Ahsg
Regulation of ossification	0.028	Ptger4
Regulation of ossification	0.028	Opn
Regulation of ossification	0.028	Mgp
Regulation of ossification	0.028	P2rx7
