Gene symbol	Position  (bp)	Affymetrix accession no	Median expression † No LOH	Median expression † LOH	P‡ <	Expression in retina
MBTPS1	82644869	201620_at	3,383.40	1,727.30	0.003	2,901.90
KIAA1609	83068608	65438_at	188.9	113.6	0.015	115.5
USP10	83291085	209137_s_at	2,746.70	1,731.40	0.02	1,479.50
ZDHHC7	83565573	218606_at	2,156.95	1,276.40	0.003	2,691.20
KIAA0513	83618911	204546_at	981.2	644.1	0.003	842
COX4NB	84369736	218057_x_at	1,607.65	1,008.30	0.05	1,102
COX4I1	84390697	202698_x_at	10,967.30	8,523.50	0.001	14,302.30
FBXO31	85920443	222352_at	798.7	364.25	0.015	500.7
MAP1LC3B	85983320	208785_s_at	3,293.25	1,507.80	0.02	2,698.10
ZCCHC14	85997364	212655_at	3,112.85	1,691.30	0.015	1,829.90
SLC7A5	86421130	201195_s_at	1,238.20	951.3	0.05	2,717.90
APRT	87403378	213892_s_at	509.8	275.8	0.015	475.7
GALNS	87407643	206335_at	764.65	521.9	0.03	Absent
HSPC176	87451007	218354_at	1,229.05	920.6	0.015	1,303
ANKRD11	87861536	219437_s_at	1,284.50	868.8	0.02	827.6
SPG7	88102306	202104_s_at	957.6	707.1	0.02	Absent
PCOLN3	88238346	201933_at	1,194.45	902.2	0.03	572.8
KIAA1049	88467527	221495_s_at	2,473.65	1,591.30	0.02	2,886.80
