Gene name	Probe ID	P, t test	P, ChIP-chip	P, combined
FRG1	215160_x_at	0.003	1.28E-04	3.02E-03
TMEFF1	205123_s_at	0.036	5.57E-05	3.57E-02
RPS3A	216823_at	0.074	2.14E-04	7.39E-02
ZNF74	205881_at	0.078	1.69E-05	7.78E-02
IL10RA	204912_at	0.079	4.97E-04	7.91E-02
TCF7	205255_x_at	0.081	1.74E-04	8.07E-02
PTPRU	211320_s_at	0.088	4.36E-04	8.87E-02
PTE1	204212_at	0.09	8.55E-06	9.04E-02
