Gene Name	HSC Expression	CMP Expression	MEP Expression	GMP Expression	L-GMP Expression
Stat1	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Col4a1	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
HoxA9	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Itgb5	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
HoxA9	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
HoxA5	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Len7	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Pqlc3	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Trim12	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Pbxip1	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Ebi3	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Runx2	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Nbeal2	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Hoxa3	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Nr5a1	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
R74740	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Itgb5	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Pdiim2	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Stk10	Up-Regulated	No Expression	Down-Regulated	Down-Regulated	Up-Regulated
Adprt13	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Adprt13	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
HoxA10	No expression	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
CkifsfB	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	No Expression
Mylk	No expression	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Tes3	Up-Regulated	No Expression	Down-Regulated	Down-Regulated	Up-Regulated
Entpd1	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Lcp2	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Bhihb2	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Itgb5	No expression	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
2310014h01Rik	Up-Regulated	Down-Regulated	No Expression	Down-Regulated	Up-Regulated
Itgb5	No expression	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Padi4	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Rnf14	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Rnf14	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Mylk	Down-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Dgka	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Tes3	Up-Regulated	No Expression	Down-Regulated	Down-Regulated	Up-Regulated
E2-2	No expression	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Myadm	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Arhgap4	No expression	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Lasp1	Up-Regulated	Up-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Lasp1	Up-Regulated	No Expression	Down-Regulated	Down-Regulated	Up-Regulated
Lst1	No expression	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Cdkn2d	Up-Regulated	No Expression	Down-Regulated	Down-Regulated	Up-Regulated
Cd44	Up-Regulated	Down-Regulated	No Expression	Down-Regulated	Up-Regulated
Ppp2r5c	Up-Regulated	No Expression	Down-Regulated	Down-Regulated	Up-Regulated
Mpra	Up-Regulated	No Expression	Down-Regulated	Down-Regulated	Up-Regulated
E2-2	Up-Regulated	No Expression	Down-Regulated	Down-Regulated	Up-Regulated
Cdkn1c	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Flot1	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Capns1	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
Lasp1	Up-Regulated	Down-Regulated	Down-Regulated	Down-Regulated	Up-Regulated
