Group name	Affy ID	Gene	Symbol	Array fold change 1% CSE	Array fold change 10% CSE	Array fold change 25% CSE
Anti-oxidants	209699_x_at	Aldo-keto reductase family 1, member C2	AKR1C2	2	4.56	2.17
Anti-oxidants	211653_x_at	Aldo-keto reductase family 1, member C2	AKR1C2	1.56	4.28	1.74
Anti-oxidants	203925_at	Glutamate-cysteine ligase, modifier subunit	GCLM	1.56	3.38	3.32
Anti-oxidants	234986_at	Glutamate-cysteine ligase, modifier subunit	GCLM	1.61	3.65	3.74
Anti-oxidants	236140_at	Glutamate-cysteine ligase, modifier subunit	GCLM	1.58	3.68	3.92
Anti-oxidants	203665_at	Heme oxygenase 1	HMOX1	1.46	3.68	3.92
Anti-oxidants	217546_at	Metallothionein 1K	MT1K	1.73	15.46	28.18
Anti-oxidants	212185_x_at	Metallothionein 2A	MT2A	1.02	1.94	2.68
Anti-oxidants	237870_at	NAD(P)H dehydrogenase, quinone 2	NQO2	1.23	1.85	2.99
Anti-oxidants	201467_s_at	NAD(P)H dehydrogenase, quinone 1	NQO1	1.57	2.33	1.71
Anti-oxidants	210519_s_at	NAD(P)H dehydrogenase, quinone 1	NQO1	1.44	2.09	1.56
Anti-oxidants	215078_at	Superoxide dismutase 2	SOD2	-1.13	1.08	-2.37
