Refseq	Gene id	Gene symbol	Gene.Name	Fold Change	q-value (%)
NM_016050	65003	MRPL11	mitochondrial ribosomal protein L11	3.48554527	0.637618
NM_170739	65003	MRPL11	mitochondrial ribosomal protein L11	3.68951877	0.637618
NM_170738	65003	MRPL11	mitochondrial ribosomal protein L11	3.48554527	0.637618
NM_002949	6182	MRPL12	mitochondrial ribosomal protein L12	2.14661806	3.9508566
NM_032111	64928	MRPL14	mitochondrial ribosomal protein L14	1.99271633	3.797649
NM_014161	29074	MRPL18	mitochondrial ribosomal protein L18	1.84406451	2.3697766
NM_015950	51069	MRPL2	mitochondrial ribosomal protein L2	2.1755884	5.9122677
NM_181515	219927	MRPL21	mitochondrial ribosomal protein L21	2.69646626	0.637618
NM_181514	219927	MRPL21	mitochondrial ribosomal protein L21	2.69646626	0.637618
NM_021134	6150	MRPL23	mitochondrial ribosomal protein L23	1.89515137	4.3199052
NM_024540	79590	MRPL24	mitochondrial ribosomal protein L24	2.66510869	0.8855806
NM_145729	79590	MRPL24	mitochondrial ribosomal protein L24	2.66510869	0.8855806
NM_016504	51264	MRPL27	mitochondrial ribosomal protein L27	2.15077516	3.9508566
NM_148571	51264	MRPL27	mitochondrial ribosomal protein L27	2.15077516	3.9508566
NM_148570	51264	MRPL27	mitochondrial ribosomal protein L27	2.15077516	3.9508566
NM_006428	10573	MRPL28	mitochondrial ribosomal protein L28	1.94199539	3.2351467
NM_145212	51263	MRPL30	mitochondrial ribosomal protein L30	1.63730533	8.1979458
NM_023937	64981	MRPL34	mitochondrial ribosomal protein L34	2.02412263	7.2505573
NM_016491	51253	MRPL37	mitochondrial ribosomal protein L37	2.64631997	0.637618
NM_146387	51073	MRPL4	mitochondrial ribosomal protein L4	1.98753231	3.3991674
NM_015956	51073	MRPL4	mitochondrial ribosomal protein L4	1.98753231	3.3991674
NM_146388	51073	MRPL4	mitochondrial ribosomal protein L4	1.74039801	5.3706176
NM_032477	64975	MRPL41	mitochondrial ribosomal protein L41	2.31489036	2.1038158
NM_176792	84545	MRPL43	mitochondrial ribosomal protein L43	1.75083877	8.0395314
NM_176794	84545	MRPL43	mitochondrial ribosomal protein L43	1.61640576	7.6537443
NM_032112	84545	MRPL43	mitochondrial ribosomal protein L43	1.5827593	9.8653909
NM_176793	84545	MRPL43	mitochondrial ribosomal protein L43	1.61640576	7.6537443
NM_016497	51258	MRPL51	mitochondrial ribosomal protein L51	2.25506599	2.4738185
NM_181304	122704	MRPL52	mitochondrial ribosomal protein L52	2.44211147	0.637618
NM_181307	122704	MRPL52	mitochondrial ribosomal protein L52	2.4433584	0.8855806
NM_181306	122704	MRPL52	mitochondrial ribosomal protein L52	2.38476625	1.0218237
NM_180982	122704	MRPL52	mitochondrial ribosomal protein L52	2.38476625	1.0218237
NM_181305	122704	MRPL52	mitochondrial ribosomal protein L52	2.38476625	1.0218237
NM_178336	122704	MRPL52	mitochondrial ribosomal protein L52	2.38476625	1.0218237
NM_053050	116540	MRPL53	mitochondrial ribosomal protein L53	1.9528462	3.6724243
NM_172251	116541	MRPL54	mitochondrial ribosomal protein L54	2.78791896	0.637618
NM_181465	128308	MRPL55	mitochondrial ribosomal protein L55	1.9911166	3.9508566
NM_181462	128308	MRPL55	mitochondrial ribosomal protein L55	1.9911166	3.9508566
NM_181463	128308	MRPL55	mitochondrial ribosomal protein L55	1.9911166	3.9508566
NM_181454	128308	MRPL55	mitochondrial ribosomal protein L55	1.9911166	3.9508566
NM_181456	128308	MRPL55	mitochondrial ribosomal protein L55	1.9911166	3.9508566
NM_181464	128308	MRPL55	mitochondrial ribosomal protein L55	1.9911166	3.9508566
NM_181455	128308	MRPL55	mitochondrial ribosomal protein L55	1.9911166	3.9508566
NM_181441	128308	MRPL55	mitochondrial ribosomal protein L55	1.9911166	3.9508566
