Probe set ID	Kinase activity	P	Gene symbol	Names	Regulation	RefSeq transcript ID	Chrom. loc.
208079_s_at	Serine/threonine	2.06E–08	AURKA	Aurora kinase A, STK6, and STK15	Mitosis early phases and centrosome	NM_003600	20q13.2–q13.3
209464_at	Serine/threonine	2.45E–13	AURKB	Aurora kinase B and STK12	Mitosis late phases and cytokinesis	NM_004217	17p13.1
209642_at	Serine/threonine	3.84E–10	BUB1	Budding uninhibited by benzimidazoles 1 homologue (yeast)	Spindle assembly checkpoint	NM_004336	2q14
203755_at	Serine/threonine	6.07E–12	BUB1B	Budding uninhibited by benzimidazoles 1 homologue h(yeast) and BUBR1	Spindle assembly checkpoint	NM_001211	15q15
203213_at	Serine/threonine	4.64E–16	CDC2	Cell division cycle 2, G1-S and G2-M, and CDK1	Cyclin complexes in G2-M	NM_001786	10q21.1
204510_at	Serine/threonine	8.38E–06	CDC7	Cell division cycle 7 (S. cerevisiae)	S phase prereplicative complexes	NM_003503	1p22
205394_at	Serine/threonine	5.13E–10	CHEK1	CHK1 checkpoint homologue (S. pombe)	S and G2 phases, DNA damage checkpoint	NM_001274	11q24q24
228468_at	Serine/threonine	8.65E–06	MASTL	Microtubule associated serine/threonine kinase like	Mitosis	NM_032844	10p12.1
204825_at	Serine/threonine	2.30E–08	MELK	Maternal embryonic leucine zipper kinase and pEg3	G2-M transition and pre-mRNA splicing	NM_014791	9p13.2
204641_at	Serine/threonine	6.85E–21	NEK2	Never in mitosis gene a–related kinase 2	Spindle assembly checkpoint and centrosome	NM_002497	1q32.2–q41
219148_at	Serine/threonine	1.57E–10	PBK	PDZ binding kinase and TOBK	Mitosis	NM_018492	8p21.2
202240_at	Serine/threonine	2.50E–13	PLK1	Polo-like kinase 1 (Drosophila)	Spindle assembly checkpoint and centrosome	NM_005030	16p12.1
204886_at	Serine/threonine	1.67E–08	PLK4	Polo-like kinase 4 (Drosophila) and SAK	Centrosome	NM_014264	4q27–q28
202200_s_at	Serine/arginine	1.47E+05	SRPK1	SFRS protein kinase 1	Pre-mRNA splicing	NM_003137	6p21.3–p21.2
204822_at	Serine/threonine and tyrosine	5.88E–10	TTK	TTK (tramtrack) protein kinase and MPS1	Spindle assembly checkpoint	NM_003318	6q13–q21
203856_at	Serine/threonine	2.05E–07	VRK1	Vaccinia-related kinase 1	S phase and P53 pathway	NM_003384	14q32
