Gene	Unigene ID	Fold Expression
SDC1		0.18
CCK		0.21
GLG1		0.21
LOC389314		0.21
hmm3048		0.21
HIST1H4C		0.22
S100A4		0.23
ATL3		0.24
PLP2		0.24
CYP26A1		0.26
E2F2		0.26
CD28		0.26
BIRC5		0.27
MLEC		0.27
CDC45L		0.27
PRR11		0.28
	Hs.374278	0.28
RAM2		0.28
UBE2J1		0.28
UHRF1		0.28
FAM101B		0.29
TK1		0.29
NMU		0.29
QPCT		0.29
TFDP1		0.29
ITGAE		0.29
MYBL2		0.29
ITM2C		0.29
DHFR		0.29
C12orf28		0.29
