Symbol	Chr.
Snurf	7
Mest	6
Peg3	7
Ndn	7
Impact	18
LOC666403	11
Pesk9	4
Stl4	9
Supt16h	14
Tomm22	15
1700123O20Rik	14
Adamts9	6
Ctse	1
LOC100044289	8
Mkm3	7
Krtl9	11
Rpol1-2	2
Zfp365	10
Krtl8	15
Rpol-4	6
Sppl	5
Defer-ts7	8
Lltdl	4
Sfip1	8
Cldn4	5
Anxa3	5
Clic6	16
Thg11	11
Dig7	14
Slc16a3	11
Grb7	11
Psmb5	14
2310040C09Rik	11
2310079N02Rik	8
Cyp26al	19
Gfpt2	11
Mapk13	17
Hba-al	11
LOC100046120	14
Defer-ts2	8
Chmp-4c	3
lrgm	11
Lhx1	11
Defer6	8
Hs3st3bl	11
Tnk1	11
Rab25	3
Cedc53	10
Hist1hlc	13
Dexr	11
Gfpt1	6
Csnk1d	11
Krt8	15
lnpp5f	7
Tmem55b	14
Cldn6	17
2010316F05Rik	11
Ceng1	11
Nek3	8
Nipsnap1	11
Acsl5	19
Bspry	4
Il17d	14
LOC669658	18
Ramp3	11
Atox1	11
B9d1	11
Tnip1	11
D11Wsu99e	11
1700007K13Rik	2
Gpx2	12
Smpdl3b	4
Iagp2	11
Lsml2	11
LOC100044172	14
Nt5c	11
Tubg1	11
Vps53	11
Tmc6	11
Cfl1	19
Clstn3	6
Maf4gd	11
Pted3	6
Rdml	11
Tmem97	11
Pi4k2b	5
Mapklip11	14
Tunp1	X
Llgl2	11
Foxd4	19
Cth	3
Dynlrb2	8
1110006E14Rik	12
Sle4a4	5
Tnfrst22	7
Npy	6
Sall3	18
Samd91	6
EG384179	5
Gbx2	1
Asns	6
Trib3	2
Gm288	14
1700048O20Rik	9
Gal	19
Ptch1	13
Gusb	5
Cdknlc	7
Prickle4	17
Chac1	2
Cyba	8
