Network id	Genes	Top functions
1	A2M	Cellular Growth and Proliferation, Cell Death, Cancer
1	ADM	Cellular Growth and Proliferation, Cell Death, Cancer
1	AGT	Cellular Growth and Proliferation, Cell Death, Cancer
1	BTG1	Cellular Growth and Proliferation, Cell Death, Cancer
1	CCL13	Cellular Growth and Proliferation, Cell Death, Cancer
1	CD53	Cellular Growth and Proliferation, Cell Death, Cancer
1	CDH22	Cellular Growth and Proliferation, Cell Death, Cancer
1	CEBPD	Cellular Growth and Proliferation, Cell Death, Cancer
1	CENTD1	Cellular Growth and Proliferation, Cell Death, Cancer
1	CREM	Cellular Growth and Proliferation, Cell Death, Cancer
1	CYP2J2	Cellular Growth and Proliferation, Cell Death, Cancer
1	FZD9	Cellular Growth and Proliferation, Cell Death, Cancer
1	GABARAPL2	Cellular Growth and Proliferation, Cell Death, Cancer
1	GJA1	Cellular Growth and Proliferation, Cell Death, Cancer
1	GLDC	Cellular Growth and Proliferation, Cell Death, Cancer
1	HRASLS3	Cellular Growth and Proliferation, Cell Death, Cancer
1	IFNG	Cellular Growth and Proliferation, Cell Death, Cancer
1	IL15	Cellular Growth and Proliferation, Cell Death, Cancer
1	ITGA5	Cellular Growth and Proliferation, Cell Death, Cancer
1	JUN	Cellular Growth and Proliferation, Cell Death, Cancer
1	KIR2DL3	Cellular Growth and Proliferation, Cell Death, Cancer
1	KLRB1C	Cellular Growth and Proliferation, Cell Death, Cancer
1	LAMB1	Cellular Growth and Proliferation, Cell Death, Cancer
1	LMO1	Cellular Growth and Proliferation, Cell Death, Cancer
1	LYN	Cellular Growth and Proliferation, Cell Death, Cancer
1	MAPK10	Cellular Growth and Proliferation, Cell Death, Cancer
1	MCC (includes EG:4163)	Cellular Growth and Proliferation, Cell Death, Cancer
1	NFKBIB	Cellular Growth and Proliferation, Cell Death, Cancer
1	PEA15	Cellular Growth and Proliferation, Cell Death, Cancer
1	PPP1R1A	Cellular Growth and Proliferation, Cell Death, Cancer
1	PRKCA	Cellular Growth and Proliferation, Cell Death, Cancer
1	PRKCB1	Cellular Growth and Proliferation, Cell Death, Cancer
1	TNFRSF12A	Cellular Growth and Proliferation, Cell Death, Cancer
1	WNT7A	Cellular Growth and Proliferation, Cell Death, Cancer
1	ZFP36	Cellular Growth and Proliferation, Cell Death, Cancer
2	AOX1	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	ARL4C	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	C9ORF26	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	CCL13	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	CEBPD	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	CMA1	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	CXCL6	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	DCAMKL1	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	EMX2	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	FAM19A2	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	FLJ20701	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	GADD45G	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	GJA1	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	HLA-DRA	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	HRAS	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	IL6	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	IL13	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	KITLG (includes EG:4254)	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	KRAS	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	MBP	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	NFKBIZ	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	NFYB	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	OXTR	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	PDPN	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	RFX2	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	RFX3	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	RFX4	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	RPL30	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	SORT1	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	TFF3	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	THRSP	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	TNFSF4	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	TPM1	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	TSLP	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
2	WNT5A	Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function
3	ADAM17	Cellular Movement, Drug Metabolism, Small Molecule Biochemistry
3	AGTR1B	Cellular Movement, Drug Metabolism, Small Molecule Biochemistry
3	ANGPT2	Cellular Movement, Drug Metabolism, Small Molecule Biochemistry
3	C5ORF13	Cellular Movement, Drug Metabolism, Small Molecule Biochemistry
3	CREM	Cellular Movement, Drug Metabolism, Small Molecule Biochemistry
3	CSPG2	Cellular Movement, Drug Metabolism, Small Molecule Biochemistry
3	DLL1	Cellular Movement, Drug Metabolism, Small Molecule Biochemistry
3	EFNB2	Cellular Movement, Drug Metabolism, Small Molecule Biochemistry
3	EGFR	Cellular Movement, Drug Metabolism, Small Molecule Biochemistry
