Name	Symbol	Day 7 unsorted	Day 17 unsorted	3.6GFPneg	3.6GFPpos
A disintegrin and metalloprotease domain 8	Adam8	1,120	5,120	1,105	46
Apolipoprotein E	Apoe	2,491	66,331	1,698	389
Complement component 1, q subcomponent, a polypeptide	Clqa	3,053	25,201	2,801	347
Complement component 1, q subcomponent, beta polypeptide	C1q 	997	12,054	823	23
Complement component 1, q subcomponent, c polypeptide	C1qc	2,379	24,234	1,947	480
Complement component 3a receptor 1	C3ar1	870	3,738	828	185
CD53 antigen	Cd53	939	6,920	844	296
CD68 antigen	Cd68	2,235	14,590	2,101	329
Carboxypeptidase E	Cpe	4,916	6,771	4,289	1,950
Colony-stimulating factor 1 receptor	Csf1r	1,189	9,469	1,047	350
Cytotoxic T lymphocyte-associated protein 2 alpha	Ct1a2a	278	898	321	121
Cytotoxic T lymphocyte-associated protein 2 beta	Ctla2b	303	975	330	50
Cathepsin C	Ctsc	1,316	2,897	1,029	404
Cathepsin S	Ctss	3,132	40,036	2,286	211
Adipose fatty acid-binding protein, AP2	Fabp4	285	417	369	124
Glycoprotein 49 A	Gp49a	1,433	8,434	1,349	98
Glycoprotein 49 B	Gp49b	714	3,635	613	42
Histocompatibility 2, T region locus 18	H2-T18	1,586	5,955	1,930	883
Lysosomal-associated protein transmembrane 5	Laptm5	1,896	13,260	1,938	756
Lymphocyte cytosolic protein 2	Lcp2	281	894	341	82
LIM domain only 2	Lmo2	1,038	4,030	1,159	479
Lymphocyte antigen 57	Ly57	221	1,689	148	49
Lymphoblastomic leukemia	Lyl1	604	3,258	527	139
Lysozyme	Lyzs	7,588	45,302	7,414	523
P lysozyme structural	Lzp-s	9,082	78,741	8,163	420
Matrix metalloproteinase 12	Mmp12	1,486	14,665	722	122
Macrophage C-type lectin	Mpc1	271	2,729	356	32
Macrophage-expressed gene 1	Mpeg1	1,942	17,053	1,897	426
Mannose receptor, C type 1	Mrc1	779	8,687	559	22
Macrophage scavenger receptor 1	Msr1	665	1,263	544	174
Properdin factor, complement	Pfc	366	1,390	397	143
Paired Ig-like receptor A3	Pira3	1,409	6,649	1,286	498
Plastin 2, L	Pls2	1,455	6,528	1,243	395
Small inducible cytokine A12	Scya12	680	967	797	116
Small inducible cytokine A9	Scya9	985	4,161	1,080	231
Sialyltransferase 8 (alpha-2, 8-sialytransferase) D	Siat8d	177	886	204	74
Transferrin receptor	Trfr	608	1,405	735	359
TYRO protein tyrosine kinase-binding protein	Tyrobp	1,419	9,987	1,140	116
