Unique id	Gene symbol	GeneBank accession	P-value (BRCA1 pools vs BRCA2 vs BRCAX pools)	P-value (Treated vs non-treated BRCA1/2/X pools)	P-value (Treated vs non-treated healthy control pools)
1110110	PTPLAD1	NM_016395.1	0.0028431	0.0043266	NS
2940564	CHCHD4	NM_144636.1	0.0046049	0.0044176	NS
6220047	HIGD1A	NM_014056.1	0.008675	0.0003357	NS
1260551	JAM2	NM_021219.2	0.0095775	0.0002492	NS
3780014	IL15RA	NM_172200.1	0.0097429	0.0036676	NS
4890639	LMNA	NM_005572.2	0.0098303	0.0034518	NS
6650494	RARSL	NM_020320.2	0.0107049	0.0003701	NS
4280725	HES4	NM_021170.2	0.0159424	0.0003604	NS
4860630	CDCP1	NM_022842.3	0.0163788	0.0002015	NS
510315	PDCD2	NM_144781.1	0.0170363	0.0017585	NS
5820092	LOC441168	NM_001010919.1	0.0174431	0.0023736	NS
5390274	TNFRSF13C	NM_052945.2	0.0179934	0.0006436	NS
6620167	ATP6V0B	NM_004047.2	0.019807	0.0031226	NS
4060136	HPS3	NM_032383.3	0.0198421	0.0019967	NS
7400672	P4HA2	NM_001017974.1	0.0207762	0.0000042	NS
4540538	HRB2	NM_007043.5	0.0216871	0.0038442	NS
5700168	RIOK3	NM_003831.2	0.0229037	0.0001421	NS
450131	GRHL1	NM_014552.2	0.0238404	0.0013426	NS
520647	NT5C2	NM_012229.2	0.0250707	0.0010432	NS
7000240	SCPEP1	NM_021626.1	0.0254657	0.0006824	NS
5690008	SAE1	NM_005500.1	0.0270841	0.001536	NS
3120612	CHMP5	NM_016410.2	0.0272837	0.0008574	NS
520615	DRG1	NM_004147.3	0.0305434	0.0020219	NS
70673	GPM6A	NM_201592.1	0.0308435	0.0001326	NS
780255	HSPA1L	NM_005527.2	0.0314586	0.0016257	NS
1660068	HOXB5	NM_002147.2	0.0324736	0.0000146	NS
6110142	DNHD1	NM_144666.1	0.033995	0.0014024	NS
2370075	MGC20983	NM_145045.3	0.0340921	0.0002572	NS
1010544	HLA-E	NM_005516.4	0.0362416	0.0026663	NS
5870047	IRF7	NM_004030.1	0.0374593	0.0005262	NS
2710414	MT1F	NM_005949.1	0.0390922	0.0001375	NS
2810154	ACYP1	NM_203488.1	0.0407421	0.0041738	NS
5570524	CASP3	NM_032991.2	0.0429139	0.0030964	NS
2340113	BM88	NM_016564.2	0.0450464	0.000487	NS
2600408	SLC6A4	NM_001045.2	0.0491675	0.0024262	NS
2940653	TTC21A	NM_145755.1	0.0493099	0.0032923	NS
1240504	TRAF3IP2	NM_147200.1	0.040659	0.0002227	0.0480843
4010463	P4HA1	NM_001017962.1	0.0316929	0.0009293	0.0406186
4070370	TLCD1	NM_138463.2	0.0094582	0.0002394	0.0275789
1940082	LMNA	NM_005572.2	0.0339802	0.001153	0.0169915
3800279	ADAM22	NM_004194.2	0.0494743	0.0002655	0.0161375
4200605	MAP2K6	NM_002758.2	0.0130587	0.0001692	0.0160899
6580519	DDX10	NM_004398.2	0.0483436	0.0001726	0.0149627
2850398	MKI67IP	NM_032390.3	0.0021784	0.0000127	0.0131939
4200681	LOC339344	NM_001012643.2	0.0345822	0.0026033	0.0124039
3710035	HMOX1	NM_002133.1	0.0121087	0.0000071	0.0110175
4200086	PCBD2	NM_032151.3	0.0382094	0.002558	0.0099042
6860162	VPS33A	NM_022916.3	0.0304539	0.0028985	0.0048579
1850132	SALL2	NM_005407.1	0.007676	0.0003649	0.001117
5390520	PPFIA4	NM_015053.1	0.0003247	0.0000015	0.0001159
1660360	CHN2	NM_004067.1	0.0005469	NS	0.0466
3420504	GLT28D1	NM_018466.2	0.0042326	NS	0.0143667
5890746	INVS	NM_183245.1	0.0047177	NS	0.0351256
7100088	SLC26A1	NM_134425.1	0.0048128	NS	0.0195511
3610296	NFIC	NM_005597.2	0.0048147	NS	0.0045124
1820725	FLJ31818	NM_152556.1	0.0050001	NS	0.0124038
4760687	LOC440348	NM_001018059.1	0.0050553	NS	0.0224702
4040053	C3orf60	NM_199073.1	0.0092253	NS	0.0117705
3520274	LOC221442	NM_001010871.1	0.0095486	NS	0.0162895
1660224	DHX57	NM_144995.2	0.0099604	NS	0.0004608
610193	LOC285193	NM_001033575.1	0.0120408	NS	0.0449885
3360273	C6orf134	NM_001031722.1	0.0136604	NS	0.0329284
6290131	TMCC1	NM_001017395.1	0.0137365	NS	0.0168975
3440133	TMEM98	NM_015544.2	0.0140508	NS	0.0213931
4220564	SP4	NM_003112.3	0.0145973	NS	0.0397103
1690356	C6orf79	NM_022102.1	0.014701	NS	0.024771
7200114	CTGF	NM_001901.1	0.0150635	NS	0.0355146
6940280	ORC1L	NM_004153.2	0.0161206	NS	0.0212589
2900242	RAB37	NM_001006637.1	0.0164769	NS	0.0029332
