Probe set ID	Gene	Fold-increase	Regulated by PPAR?	Function
1417130_s_at	Angptl4	1.62	x
1448382_at	Ehhadh	1.55	x	Mitochondrial and peroxisomal fatty acid oxidation
1435630_s_at	Acat2	1.4	x	Mitochondrial and peroxisomal fatty acid oxidation
1425195_a_at	Acat2/Acat3	1.38	x	Mitochondrial and peroxisomal fatty acid oxidation
1423108_at	Slc25a20	1.36	x	Mitochondrial and peroxisomal fatty acid oxidation
1424184_at	Acadvl	1.35	x	Mitochondrial and peroxisomal fatty acid oxidation
1418911_s_at	Acsl4	1.35	x	Mitochondrial and peroxisomal fatty acid oxidation
1448286_at	Hadh2	1.32	x	Mitochondrial and peroxisomal fatty acid oxidation
1452341_at	Echs1	1.28	x	Mitochondrial and peroxisomal fatty acid oxidation
1423797_at	Aacs	1.27		Mitochondrial and peroxisomal fatty acid oxidation
1418321_at	Dci	1.25	x	Mitochondrial and peroxisomal fatty acid oxidation
1417263_at	Ptgs2	3.2		Eicosanoid metabolism
1417262_at	Ptgs2	2.68		Eicosanoid metabolism
1419905_s_at	Hpgd	1.36	x	Eicosanoid metabolism
1417777_at	Ltb4dh	1.26		Eicosanoid metabolism
1430307_a_at	Mod1	1.36	x	Fatty acid synthesis
1428190_at	Slc25a1	1.34		Fatty acid synthesis
1425326_at	Acly	126		Fatty acid synthesis
1444489_at	Slc25a12	2.2		Transporter proteins
1422906_at	Abcg2	1.96	x	Transporter proteins
1422811_at	Slc27a1	1.74	x	Transporter proteins
1426340_at	Slc1a3	1.74		Transporter proteins
1440379_at	Slc1a5	1.65		Transporter proteins
1437052_s_at	Slc2a3	1.39		Transporter proteins
1417772_at	Grhpr	1.3	x	Amino acid metabolism
1418847_at	Arg2	1.54	x	Amino acid metabolism
1460336_at	Ppargc1a	1.84		Nuclear receptor co-activators/repressors
1423201_at	Ncor1	1.38		Nuclear receptor co-activators/repressors
1437864_at	Adipor2	1.82		Miscellaneous involved in metabolism
1433691_at	Ppp1r3c	1.72		Miscellaneous involved in metabolism
1417956_at	Cidea	1.71		Miscellaneous involved in metabolism
1438258_at	Vldlr	1.6	x	Miscellaneous involved in metabolism
1425631_at	Ppp1r3c	1.54		Miscellaneous involved in metabolism
1448499_a_at	Ephx2	1.42	x	Miscellaneous involved in metabolism
1427213_at	Pfkfb1	1.44	x	Miscellaneous involved in metabolism
1456090_at	Pdhx	1.4		Miscellaneous involved in metabolism
1416371_at	Apod	1.36		Miscellaneous involved in metabolism
1448172_at	Mdh1	1.23		Miscellaneous involved in metabolism
