Affymetrix ID	Fold up-regulation	Gene name	Function
212448_at	4.6	Neural precursor cell expressed	Growth factors/intracellular signaling
227449_at	4.5	EPH receptor A4	Growth factors/intracellular signaling
226974_at	4.4	Neural precursor cell expressed	Growth factors/intracellular signaling
204379_s_at	4	Fibroblast growth factor receptor 3	Growth factors/intracellular signaling
227542_at	2	Suppressor of cytokine signaling 6	Growth factors/intracellular signaling
206633_at	20.4	Cholinergic receptor	Neuronal proteins/neuronal progenitors
204304_s_at	19	CD133/prominin 1	Neuronal proteins/neuronal progenitors
216086_at	6	Synaptic vesicle glycoprotein 2C	Neuronal proteins/neuronal progenitors
230785_at	9.5	Sal-like 3	DNA interacting proteins/transcription factors
228347_at	3.5	Sine oculis homeobox homologue 1	DNA interacting proteins/transcription factors
203604_at	2.5	Zinc finger protein 516	DNA interacting proteins/transcription factors
203221_at	2.3	Transducin-like enhancer of split 1	DNA interacting proteins/transcription factors
229123_at	2.2	Zinc finger protein 224	DNA interacting proteins/transcription factors
204724_s_at	10.9	Collagen, type IX, a 3	Migration and extracellular matrix–associated genes
203413_at	10.3	NEL-like 2	Migration and extracellular matrix–associated genes
