Name	Symbol	Day 7 unsorted	Day 17 unsorted	2.3GFPneg	2.3GFPpos
Ankyrin 3, epithelial	Ank3	522	374	294	800
Asparagine synthetase	Asns	1,761	576	292	765
CD24a antigen	Cd24a	703	793	919	3,056
Chloride channel 3	Clcn3	495	545	273	849
Cytochrome-c oxidase, subunit VI a	Cox6a2	1,451	393	273	2,097
Carboxypeptidase E	Cpe	5,382	6,856	3,170	16,015
Fatty acid-binding protein 3	Fabp3	691	685	657	2,984
Farnesyl pyrophosphate synthase	Fpps	13,349	5,874	5,149	11,170
Fyn proto-oncogene	Fyn	1,968	2,692	1,500	5,073
Kruppel-like factor 4 (gut)	Klf4	4,314	3,892	2,027	5,868
Stearoyl-coenzyme A desaturase 1	Scd1	6,881	8,464	4,158	13,170
Solute carrier family 7 (cationic amino acid transporter, y+ system), member 3	Slc7a3	1,213	224	191	548
