Gene Name	Gene ID	Fold induction Array (8-16)	(0-16)
secreted frizzled-related sequence protein 2	Sfrp2	9.1	106
programmed cell death 1	Pdcd1	19.65	83
myelin basic protein	Mbp	9.11	81
lectin, galactose binding, soluble 3	Lgals3	5.05	37
aldo-keto reductase family 1, member C18	Akr1c18	6.14	29
5 nucleotidase, ecto	Nt5e	4.24	28
pleiotrophin	Ptn	4.79	25
ATP-binding cassette, sub-family B (MDR/TAP), member 1A	Abcb1a	4.01	19
