Gene name	Probe ID	P, t test	P, ChIP on chip	P, combined
FRG1	215160_x_at	0.002	1.28E-04	0.002
TTC3	210645_s_at	0.002	2.60E-04	0.002
IL10RA	204912_at	0.002	4.97E-04	0.002
SERPINB2	204614_at	0.007	3.82E-04	0.007
NCF1	214084_x_at	0.028	4.25E-05	0.028
LOC51035	210623_at	0.034	9.12E-04	0.035
IFNAR1	204191_at	0.041	1.53E-05	0.041
CACNG4	62987_r_at	0.047	4.03E-06	0.047
RQCD1	213903_s_at	0.052	6.97E-04	0.053
TMEFF1	205123_s_at	0.06	5.57E-05	0.061
CHRNA5	206533_at	0.063	6.71E-04	0.063
ARAF1	201895_at	0.077	1.24E-04	0.078
TRAF3	221571_at	0.078	3.56E-09	0.078
