Function	Gene	Protein	Virgin	Pregnant	Lactating	Involuting
Ca-ATPases PMCAs and SERCAs	Atp2b2	PMCA2	1	1.56 ± 0.17	62.95 ± 6.58	1.40 ± 0.17
Ca-ATPases PMCAs and SERCAs	Atp2a1	SERCA1	1	2.60 ± 0.95	0.73 ± 0.10	0.89 ± 0.21
Ca-ATPases PMCAs and SERCAs	Atp2a2	SERCA2	1	0.46 ± 0.03	0.68 ± 0.10	0.38 ± 0.02
Ca-ATPases PMCAs and SERCAs	Atp2a3	SERCA3	1	1.20 ± 0.03	1.51 ± 0.03	1.27 ± 0.06
Calcium channels: Voltage-dependent channels	Cacna1a	alpha1-a subunit	1	1.11 ± 0.02	1.39 ± 0.09	1.14 ± 0.03
Calcium channels: Voltage-dependent channels	Cacna1b	alpha1-b subunit	1	1.16 ± 0.02	1.40 ± 0.03	1.19 ± 0.03
Calcium channels: Voltage-dependent channels	Cacna1c	alpha1-c subunit	1	0.81 ± 0.04	1.26 ± 0.09	0.96 ± 0.10
Calcium channels: Voltage-dependent channels	Cacna1e	alpha1-e subunit	1	1.17 ± 0.04	1.53 ± 0.05	1.27 ± 0.05
Calcium channels: Voltage-dependent channels	Cacna1g	alpha1-g subunit	1	1.07 ± 0.04	1.49 ± 0.07	1.13 ± 0.08
Calcium channels: Voltage-dependent channels	Cacna1 h	alpha1-h subunit	1	1.23 ± 0.05	1.64 ± 0.13	1.23 ± 0.05
Calcium channels: Voltage-dependent channels	Cacna1s	alpha1-s subunit	1	1.23 ± 0.02	1.65 ± 0.08	1.32 ± 0.05
Calcium channels: Voltage-dependent channels	Cacna2d1	alpha2-delta subunit 1	1	1.24 ± 0.12	1.58 ± 0.05	1.23 ± 0.08
Calcium channels: Voltage-dependent channels	Cacna2d3	alpha2-deltasubunit 3	1	1.50 ± 0.07	2.44 ± 0.13	1.65 ± 0.09
Calcium channels: Voltage-dependent channels	Cacnb2	beta2-subunit	1	1.12 ± 0.03	1.43 ± 0.03	1.20 ± 0.07
Calcium channels: Voltage-dependent channels	Cacng2	gamma2 subunit	1	1.44 ± 0.07	2.17 ± 0.46	1.47 ± 0.11
Calcium channels: Transient receptor potential channels	Trpc1		1	1.28 ± 0.03	1.71 ± 0.09	1.36 ± 0.07
Calcium channels: Transient receptor potential channels	Trpc4		1	1.37 ± 0.05	1.84 ± 0.07	1.54 ± 0.17
Calcium channels: Transient receptor potential channels	Trpc5		1	1.31 ± 0.04	1.87 ± 0.09	1.42 ± 0.10
Calcium channels: Transient receptor potential channels	Trpc6		1	1.57 ± 0.08	2.80 ± 0.20	1.81 ± 0.22
Calcium channels: Transient receptor potential channels	Trpv2		1	0.27 ± 0.02	0.33 ± 0.02	0.28 ± 0.02
Intracellular calcium release: Inositol 1,4,5-triphosphate receptors	Itpr1		1	0.77 ± 0.05	0.90 ± 0.05	1.01 ± 0.20
Intracellular calcium release: Inositol 1,4,5-triphosphate receptors	Itpr2		1	0.29 ± 0.04	0.06 ± 0.00	0.71 ± 0.07
Intracellular calcium release: Inositol 1,4,5-triphosphate receptors	Itpr5		1	1.11 ± 0.03	1.51 ± 0.06	1.21 ± 0.07
Intracellular calcium release: Ryanodine receptors	Ryr1		1	0.20 ± 0.00	0.26 ± 0.01	0.22 ± 0.01
Intracellular calcium release: Ryanodine receptors	Ryr2		1	1.10 ± 0.02	1.45 ± 0.06	1.15 ± 0.04
Intracellular calcium release: Ryanodine receptors	Ryr3		1	1.13 ± 0.05	1.75 ± 0.08	1.30 ± 0.13
Calcium-binding proteins: Calmodulins	Calm1	Calmodulin 1	1	0.66 ± 0.02	0.38 ± 0.04	0.55 ± 0.05
Calcium-binding proteins: Calmodulins	Calm2	Calmodulin 2	1	1.28 ± 0.02	0.50 ± 0.04	1.20 ± 0.02
Calcium-binding proteins: Calmodulins	Calm3	Calmodulin 3	1	1.13 ± 0.10	0.53 ± 0.13	0.87 ± 0.01
Calcium-binding proteins: Calmodulins	Calm4	Calmodulin 4	1	1.06 ± 0.03	1.56 ± 0.13	1.10 ± 0.04
Calcium-binding proteins: Calmodulins	Calml4	Calmodulin-like 4	1	0.28 ± 0.01	0.37 ± 0.01	0.32 ± 0.02
Calcium-binding proteins: Calbindins	Calb1	Calbindin 1	1	1.11 ± 0.04	1.59 ± 0.07	1.19 ± 0.07
Calcium-binding proteins: Calbindins	Calb2	Calbindin 2	1	1.10 ± 0.02	1.35 ± 0.02	1.17 ± 0.04
Calcium-binding proteins: Nucleobindins	Nucb1	Nucleobindin 1	1	0.50 ± 0.06	0.10 ± 0.01	0.13 ± 0.01
Calcium-binding proteins: Nucleobindins	Nucb2	Nucleobindin 2	1	3.05 ± 0.36	8.14 ± 1.67	14.42 ± 1.48
Calcium-binding proteins: Calreticulins	Calr	Calreticulin	1	1.13 ± 0.04	1.52 ± 0.06	1.18 ± 0.05
Calcium-binding proteins: Calreticulins	Calr4	Calreticulin 4	1	1.10 ± 0.03	1.86 ± 0.11	1.22 ± 0.07
Calcium-binding proteins: S100 proteins	S100a1		1	0.63 ± 0.08	0.19 ± 0.02	0.76 ± 0.06
Calcium-binding proteins: S100 proteins	S100a3		1	1.68 ± 0.12	3.72 ± 0.32	2.00 ± 0.23
Calcium-binding proteins: S100 proteins	S100a4		1	0.39 ± 0.02	0.26 ± 0.04	0.32 ± 0.02
Calcium-binding proteins: S100 proteins	S100a6		1	0.23 ± 0.04	0.08 ± 0.01	0.30 ± 0.07
Calcium-binding proteins: S100 proteins	S100a8		1	0.71 ± 0.07	0.71 ± 0.03	0.80 ± 0.18
Calcium-binding proteins: S100 proteins	S100a9		1	1.12 ± 0.07	1.40 ± 0.05	1.20 ± 0.09
Calcium-binding proteins: S100 proteins	S100a10		1	0.45 ± 0.05	0.06 ± 0.01	0.44 ± 0.06
Calcium-binding proteins: S100 proteins	S100a11		1	0.44 ± 0.06	0.06 ± 0.01	1.07 ± 0.05
Calcium-binding proteins: S100 proteins	S100a13		1	0.67 ± 0.07	0.20 ± 0.03	0.71 ± 0.05
Calcium-binding proteins: S100 proteins	S100pbp		1	0.86 ± 0.06	1.01 ± 0.06	0.95 ± 0.07
Calcium-binding proteins: Other	Rcvrn	Recoverin	1	1.12 ± 0.03	1.50 ± 0.04	1.21 ± 0.07
Calcium-binding proteins: Other	Anxa6	Annexin A6	1	0.74 ± 0.07	0.68 ± 0.03	0.84 ± 0.07
