Probesets	Symbol	Title
1416658_at	Frzb	frizzled-related protein
1418601_at	Aldh1a7	aldehyde dehydrogenase family 1, subfamily A7
1418990_at	Ms4a4d	membrane-spanning 4-domains, subfamily A, member 4D
1419593_at	Greb1	gene regulated by estrogen in breast cancer protein
1421027_a_at	Mef2c	myocyte enhancer factor 2C
1423222_at	Cap2	CAP, adenylate cyclase-associated protein, 2 (yeast)
1424547_at	Car10	carbonic anhydrase 10
1424842_a_at	Arhgap24	Rho GTPase activating protein 24
1427133_s_at	Lrp2	low density lipoprotein receptor-related protein 2 MEGALIN
1428825_at	Nr6a1	nuclear receptor subfamily 6, group A, member 1
1428826_at	Nr6a1	nuclear receptor subfamily 6, group A, member 1
1430252_at	3110027N22Rik	RIKEN cDNA 3110027N22 gene
1430392_at	9530086O07Rik	RIKEN cDNA 9530086O07 gene
1430554_at	Lrig3	leucine-rich repeats and immunoglobulin-like domains 3
1430570_at	Kynu	kynureninase (L-kynurenine hydrolase)
1430576_at	Tpp2	tripeptidyl peptidase II
1432673_at	2300010F08Rik	RIKEN cDNA 2300010F08 gene
1433825_at	Ntrk3 = TrkC	Neurotrophic tyrosine kinase, receptor, type 3
1434186_at	Gpr23	G protein-coupled receptor 23
1434201_at	Chrdl1	Chordin-like 1
1435437_at	Setd7	SET domain containing (lysine methyltransferase) 7
1436340_at	9630041G16Rik	RIKEN cDNA 9630041G16 gene
1437540_at	---	---
1438333_at	Prtg	protogenin homolog (Gallus gallus)
1438410_at	Prtg	protogenin homolog (Gallus gallus)
1438452_at	Nebl	nebulette
1438855_x_at	Tnfaip2	tumor necrosis factor, alpha-induced protein 2
1439018_at	6330505N24Rik	RIKEN cDNA 6330505N24 gene
1439233_at	Tloc1	Translocation protein 1
1439341_at	AK220484	cDNA sequence AK220484
1439673_at	E230008O15Rik	RIKEN cDNA E230008O15 gene
1440104_at	Ranbp2	RAN binding protein 2
1440163_at	6030490B17Rik	RIKEN cDNA 6030490B17 gene
1440573_at	Erbb2ip	Erbb2 interacting protein
1440736_at	AI131651	expressed sequence AI131651
1441635_at	Olfml2a	Olfactomedin-like 2A
1441722_at	Aatf	Apoptosis antagonizing transcription factor
1442078_at	Ctdspl2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phospha...
1442703_at	AK220484	cDNA sequence AK220484
1443104_at	---	---
1443546_at	Hdlbp	High density lipoprotein (HDL) binding protein
1444195_at	Rmnd5a	Required for meiotic nuclear division 5 homolog A (S. cerevisiae)
1444583_at	D4Ertd767e	DNA segment, Chr 4, ERATO Doi 767, expressed
1444787_at	Chd1	Chromodomain helicase DNA binding protein 1
1444788_x_at	Chd1	Chromodomain helicase DNA binding protein 1
1444886_at	Appbp2	Amyloid beta precursor protein (cytoplasmic tail) binding protein 2
1445323_at	Greb1	gene regulated by estrogen in breast cancer protein
1445517_at	---	---
1445866_at	Mast4	microtubule associated serine/threonine kinase family member 4
1445881_at	2310035P21Rik	RIKEN cDNA 2310035P21 gene
1445885_at	Ube2d2	ubiquitin-conjugating enzyme E2D 2
1446001_at	Reps1	RalBP1 associated Eps domain containing protein
1446150_at	---	16 days embryo head cDNA, RIKEN full-length enriched library, clone:C130070I2...
1446345_at	---	---
1446750_at	Impact	imprinted and ancient
1446810_at	A730062M13Rik	RIKEN cDNA A730062M13 gene
1448424_at	Frzb	frizzled-related protein
1450336_at	Nsccn1	non-selective cation channel 1
1450910_at	Cap2	CAP, adenylate cyclase-associated protein, 2 (yeast)
1452129_at	Pthr2	parathyroid hormone receptor 2
1452320_at	Lrp2	low density lipoprotein receptor-related protein 2
1453596_at	Id2	inhibitor of DNA binding 2
1453753_at	Dtl	denticleless homolog (Drosophila)
1455220_at	Frat2	frequently rearranged in advanced T-cell lymphomas 2
1455978_a_at	Matn2	matrilin 2
1456326_at	Gm784	gene model 784, (NCBI)
1456329_at	Prtg	protogenin homolog (Gallus gallus)
1457038_at	Frem2	Fras1 related extracellular matrix protein 2
1457113_at	Nasp; D4Ertd767e	nuclear autoantigenic sperm protein (histone-binding); DNA segment, Chr 4, ER...
1457128_at	---	---
1457334_at	C130057M05Rik	RIKEN cDNA C130057M05 gene
1457489_at	Eif4e	Eukaryotic translation initiation factor 4E
1457739_at	Fscn1	fascin homolog 1, actin bundling protein (Strongylocentrotus purpuratus)
1458056_at	Sfrs12	splicing factor, arginine/serine-rich 12
1458724_at	E230008O15Rik	RIKEN cDNA E230008O15 gene
