Probe set ID	p-value	Gene name	Description
201419_at	0,0366	BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)
231042_s_at	0,0495	CAMK2D	calcium/calmodulin-dependent protein kinase (CaM kinase) II delta
211979_at	0,0188	GPR107	G protein-coupled receptor 107
221875_x_at	0,0218	HLA-F	major histocompatibility complex, class I, F
217371_s_at	0,0289	IL15	H.sapiens mRNA for interleukin-15.
34221_at	0,00582	KIAA0194	KIAA0194 protein
212733_at	0,038	KIAA0226	KIAA0226 gene product
211926_s_at	0,0136	MYH9	myosin, heavy polypeptide 9, non-muscle
212561_at	0,0258	RAB6IP1	RAB6 interacting protein 1
223195_s_at	0,00722	SESN2	601820836F1 NIH_MGC_58 Homo sapiens cDNA clone IMAGE:4052768 5, mRNA sequence.
209427_at	0,0442	SMTN	smoothelin
229192_s_at	0,0459	TBCD	tubulin-specific chaperone d
206649_s_at	0,00569	TFE3	transcription factor binding to IGHM enhancer 3
225435_at	0,027	NA	CDNA FLJ14232 fis, clone NT2RP4000035
243976_at	0,0109	NA	CDNA FLJ39332 fis, clone OCBBF2017069
