Gene symbol	Gene name	Accessionb	Expression
EDN1	Endothelin 1	H11003	Upregulated
PCCA	Propionyl coenzyme A carboxylase, alpha polypeptide	AA608575	Upregulated
PPIG	Peptidyl-prolyl isomerase G	AA458502	Upregulated
CIN85	c-Cbl-interacting protein	AA989257	Upregulated
EGR3	Early growth response 3	R39111	Upregulated
ATF4	Activating transcription factor 4	AA600217	Upregulated
IL2RB	Interleukin 2 receptor, beta	AA057156	Downregulated
CCR1	Chemokine (C–C motif) receptor 1	AA036881	Downregulated
CDH11	Cadherin 11, type 2, OB-cadherin (osteoblast)	AA136983	Downregulated
PFKM	Phosphofructokinase, muscle	AA099169	Downregulated
PIM1	Pim-1 oncogene	AA453663	Downregulated
LAMA5	Laminin, alpha 5	AA459519	Downregulated
