Affymetrix probe set	Gene symbol	Fold difference (CAF/NF)	Gene name
238178_at	NA	0.261	NA
204151_x_at	AKR1C1	0.375	Aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-? (3-?)-hydroxysteroid dehydrogenase)
209699_x_at	AKR1C2	0.379	Aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; 3-?hydroxysteroid dehydrogenase, type III)
232668_at	C8orf72	0.386	Chromosome 8 open reading frame 72
209355_s_at	PPAP2B	0.388	Phosphatidic acid phosphatase type 2B
229377_at	GRTP1	0.412	Growth hormone-regulated TBC protein 1
220266_s_at	KLF4	0.437	Kruppel-like factor 4 (gut)
202948_at	IL1R1	0.445	Interleukin 1 receptor, type I
1561574_at	SLIT3	0.475	Slit homolog 3 (Drosophila)
213895_at	EMP1	0.477	Epithelial membrane protein 1
