Number	Symbol	Log2 (FC)	p value
1	BMP2	2.18	4.6 X 10^-6
2	NOTCH2	-0.96	1.0 X 10^-5
3	CXCL12	-1.6	1.2 X 10^-5
4	ALDH1A1	2.56	1.0 X 10^-4
5	IGF1	2.67	2.2 X 10^-4
6	FGF2	2.03	2.4 X 10^-4
7	ALDH2	1.53	1.7 X 10^-4
8	CCND2	2.27	2.0 X 10^-3
9	FZD1	0.89	2.1 X 10^-3
10	GJA1	-0.96	2.9 X 10^-3
11	JAG1	-2.34	6.5 X 10^-3
12	GCN5L2	1.13	4.1 X 10^-3
13	MYST1	1.18	4.4 X 10^-3
14	FRAT1	1.7	5.6 X 10^-3
15	HSPA9B	1.09	5.6 X 10^-3
16	HDAC2	1.19	6.7 X 10^-3
17	MYC	0.76	1.1 X 10^-2
18	DTX2	1.12	1.4 X 10^-2
19	PPARD	0.41	1.8 X 10^-2
20	DVL1	0.87	2.7 X 10^-2
21	GJB2	1.8	3.4 X 10^-2
22	CDC42	0.56	4.2 X 10^-2
