miRNA	10-11 wga Average	13-14-15 wga Average	21-22 wga Average
hsa-miR-425	0.0036	0.0050	0.0035
hsa-miR-1	0.0033	0.0018	0.0049
hsa-miR-502	0.0032	0.0006	0.0007
hsa-miR-206	0.0028	0.0010	0.0037
hsa-miR-650	0.0026	0.0021	0.0024
hsa-miR-29c	0.0023	0.0024	0.0050
hsa-miR-124a	0.0023	0.0029	0.0012
hsa-miR-452	0.0022	0.0031	0.0031
hsa-miR-133b	0.0020	0.0030	0.0024
hsa-miR-139	0.0020	0.0022	0.0013
hsa-miR-29a	0.0020	0.0065	0.0170
hsa-miR-542-5p	0.0016	0.0017	0.0025
hsa-miR-326	0.0016	0.0009	0.0008
hsa-miR-488	0.0016	0.0006	0.0001
hsa-miR-629	0.0015	0.0006	0.0006
hsa-miR-369-3p	0.0015	0.0011	0.0003
hsa-miR-496	0.0015	0.0011	0.0003
hsa-miR-133a	0.0014	0.0018	0.0024
hsa-miR-203	0.0013	0.0028	0.0014
hsa-miR-378	0.0013	0.0007	0.0003
hsa-miR-511	0.0012	0.0004	0.0010
hsa-miR-520g	0.0012	0.0016	0.0004
hsa-miR-17-3p	0.0011	0.0013	0.0011
hsa-miR-190	0.0011	0.0014	0.0021
hsa-miR-450	0.0010	0.0013	0.0005
hsa-miR-518b	0.0010	0.0024	0.0003
hsa-miR-659	0.0010	0.0007	0.0001
hsa-miR-376b	0.0009	0.0006	0.0003
hsa-miR-338	0.0008	0.0055	0.0084
hsa-miR-504	0.0008	0.0011	0.0001
hsa-miR-576	0.0008	0.0005	0.0005
hsa-miR-545	0.0007	0.0010	0.0005
hsa-miR-219	0.0006	0.0003	0.0001
hsa-miR-518e	0.0006	0.0018	0.0005
hsa-miR-642	0.0005	0.0008	0.0010
hsa-miR-196b	0.0005	0.0010	0.0037
hsa-miR-422a	0.0005	0.0006	0.0005
hsa-miR-518c	0.0005	0.0028	0.0005
hsa-miR-337	0.0005	0.0007	0.0001
hsa-miR-189	0.0005	0.0004	0.0003
hsa-miR-509	0.0004	0.0007	0.0004
hsa-miR-299-3p	0.0004	0.0004	0.0001
hsa-miR-381	0.0004	0.0011	0.0005
hsa-miR-329	0.0003	0.0006	0.0001
hsa-miR-518f	0.0001	0.0010	0.0002
