Refseq	Gene id	Gene symbol	Gene.Name	Fold Change	q-value (%)	Negative Fold Change
NM_001014432	207	AKT1	v-akt murine thymoma viral oncogene homolog 1	2.25858219	2.3697766	NA
NM_005163	207	AKT1	v-akt murine thymoma viral oncogene homolog 1	2.25858219	2.3697766	NA
NM_001014431	207	AKT1	v-akt murine thymoma viral oncogene homolog 1	2.25858219	2.3697766	NA
NM_014239	8892	EIF2B2	eukaryotic translation initiation factor 2B, subunit 2 beta, 39kDa	1.58881705	8.7274414	NA
NM_015636	8890	EIF2B4	eukaryotic translation initiation factor 2B, subunit 4 delta, 67kDa	1.93507427	7.2505573	NA
NM_172195	8890	EIF2B4	eukaryotic translation initiation factor 2B, subunit 4 delta, 67kDa	1.93507427	7.2505573	NA
NM_013234	27335	EIF3S12	eukaryotic translation initiation factor 3, subunit 12	1.73904899	5.5989565	NA
NM_003757	8668	EIF3S2	eukaryotic translation initiation factor 3, subunit 2 beta, 36kDa	1.7793291	4.6110465	NA
NM_003755	8666	EIF3S4	eukaryotic translation initiation factor 3, subunit 4 delta, 44kDa	2.6323576	1.4706181	NA
NM_003754	8665	EIF3S5	eukaryotic translation initiation factor 3, subunit 5 epsilon, 47kDa	1.70795482	6.5999626	NA
NM_004846	9470	EIF4E2	eukaryotic translation initiation factor 4E member 2	1.64827516	7.2505573	NA
NM_004095	1978	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	3.93400594	0.637618	NA
NM_003760	8672	EIF4G3	eukaryotic translation initiation factor 4 gamma, 3	0.52281188	8.1979458	-1.912733888
NM_001970	1984	EIF5A	eukaryotic translation initiation factor 5A	1.87266726	3.3991674	NA
NM_016480	51247	PAIP2	poly(A) binding protein interacting protein 2	1.53411473	9.6306887	NA
NM_005614	6009	RHEB	Ras homolog enriched in brain	1.57819963	8.8660141	NA
NM_001006665	6195	RPS6KA1	ribosomal protein S6 kinase, 90kDa, polypeptide 1	1.88178096	8.0395314	NA
NM_002953	6195	RPS6KA1	ribosomal protein S6 kinase, 90kDa, polypeptide 1	1.88178096	8.0395314	NA
NM_021135	6196	RPS6KA2	ribosomal protein S6 kinase, 90kDa, polypeptide 2	2.07560647	4.6110465	NA
NM_001006932	6196	RPS6KA2	ribosomal protein S6 kinase, 90kDa, polypeptide 2	2.07560647	4.6110465	NA
NM_001006944	8986	RPS6KA4	ribosomal protein S6 kinase, 90kDa, polypeptide 4	1.65038194	7.6537443	NA
NM_003942	8986	RPS6KA4	ribosomal protein S6 kinase, 90kDa, polypeptide 4	1.65038194	7.6537443	NA
NM_012424	26750	RPS6KC1	ribosomal protein S6 kinase, 52kDa, polypeptide 1	0.47373987	9.6306887	-2.110863078
NM_003321	7284	TUFM	Tu translation elongation factor, mitochondrial	2.09907103	1.4706181	NA
