Probe set ID	Gene title	Gene symbol	LS180 emetine SLR (change)	LS180 C(A+C)/CA SLR (change)	SW480-emetine SLR (change)
219121_s_at	RNA-binding motif protein 35A	RBM35A	5.51	1.1	0.72
225897_at	Myristoylated alanine-rich protein kinase C substrate	MARCKS	4.68	3.99	-0.09
201669_s_at	Myristoylated alanine-rich protein kinase C substrate	MARCKS	3.93	5.52	0.75
208944_at	Transforming growth factor, beta receptor II (70/80 kDa)	TGFBR2	2.75	2.56	-1.5
218522_s_at	BPY2 interacting protein 1	BPY2IP1	2.99	2.92	-0.46
201637_s_at	Fragile X mental retardation, autosomal homolog 1	FXR1	2.6	1.36	0.05
206777_s_at	Crystallin, beta B2	CRYBB2	3.89	1.31	-0.26
222760_at	Zinc finger protein 703	ZNF703	2.85	1.31	0.35
225548_at	Shroom	SHRM	1.77	1.42	0.54
235521_at	Homeo box A3	HOXA3	2.59	3.42	-0.62
