Probe ID	Gene	Jones	Allinen	S
210095_s_at	IGFBP3	NA	NA	?6.1
201596_x_at	KRT18	NA	NA	?6.0
209008_x_at	KRT8	NA	+	?5.2
201650_at	KRT19	NA	+	?3.8
213711_at	KRTHB1	NA	NA	?3.6
210046_s_at	IDH2	NA	NA	?2.9
209140_x_at	HLA-B	NA	NA	?2.8
206595_at	CST6	+	NA	?2.6
210764_s_at	CYR61	NA	NA	?2.2
209040_s_at	PSMB8	NA	NA	?2.2
208729_x_at	HLA-B	NA	NA	?2.1
204279_at	PSMB9	NA	NA	?2.0
212143_s_at	IGFBP3	NA	NA	?2.0
206074_s_at	HMGIY	NA	NA	?1.9
211911_x_at	HLA-B	NA	NA	?1.7
206670_s_at	GAD1	NA	NA	?1.6
209121_x_at	NR2F2	NA	NA	?1.6
204733_at	KLK6	+	NA	?1.6
204734_at	KRT15	NA	NA	?1.5
203828_s_at	NK4	+	NA	?1.5
218966_at	MYO5C	NA	NA	?1.4
208812_x_at	HLA-C	NA	NA	?1.4
202510_s_at	TNFAIP2	+	NA	?1.4
201508_at	IGFBP4	NA	NA	?1.3
202888_s_at	ANPEP	NA	NA	?1.3
212444_at	FLJ22182	NA	NA	?1.3
206669_at	GAD1	NA	NA	?1.3
203108_at	RAI3	NA	NA	?1.3
201445_at	CNN3	NA	NA	?1.2
209094_at	DDAH1	NA	NA	?1.2
212481_s_at	TPM4	NA	NA	?1.2
205258_at	INHBB	NA	NA	?1.2
219051_x_at	METRN	NA	NA	?1.1
219935_at	ADAMTS5	NA	NA	?1.0
211799_x_at	HLA-C	NA	NA	?1.0
201952_at	ALCAM	NA	NA	?1.0
205780_at	BIK	NA	NA	?1.0
202838_at	FUCA1	NA	NA	?1.0
217867_x_at	BACE2	+	NA	?1.0
203215_s_at	MYO6	NA	NA	?1.0
203892_at	WFDC2	+	NA	?1.0
209581_at	HRASLS3	NA	NA	?1.0
204881_s_at	UGCG	NA	NA	?1.0
201842_s_at	EFEMP1	NA	NA	?0.9
201313_at	ENO2	NA	NA	?0.9
218211_s_at	MLPH	NA	NA	?0.9
212531_at	LCN2	+	NA	?0.9
209373_at	BENE	NA	NA	?0.8
201428_at	CLDN4	+	+	?0.8
203071_at	SEMA3B	+	NA	?0.8
206200_s_at	ANXA11	NA	NA	?0.8
214088_s_at	FUT3	NA	NA	?0.8
205044_at	GABRP	NA	NA	?0.7
204304_s_at	PROM1	NA	NA	?0.7
201825_s_at	SCCPDH	NA	NA	?0.7
206560_s_at	MIA	NA	NA	?0.7
204602_at	DKK1	NA	NA	?0.7
209120_at	NR2F2	NA	NA	?0.7
203570_at	LOXL1	NA	NA	?0.7
204806_x_at	HLA-F	NA	NA	?0.7
202790_at	CLDN7	NA	NA	?0.7
218731_s_at	WARP	NA	NA	?0.6
213400_s_at	TBL1	NA	NA	?0.6
215034_s_at	TM4SF1	NA	NA	?0.6
215189_at	KRTHB6	NA	NA	?0.6
211529_x_at	HLA-G	NA	NA	?0.6
