Gene	AFFY_ID	CX3CR1+CD8	CX3CR1?CD8	CD4	Doublenegative
Id2	1422537_a_at	55	1161	354	481
CCR7	1423466_at	359	983	844	1015
Tgfbi	1448123_s_at	2276	5753	7043	4501
Adam8	1416871_at	128	2548	856	875
Fgl2	1421855_at	64	419	205	313
Apob48r	1420382_at	450	1907	1284	1396
Atf3	1449363_at	158	461	428	516
Nr4a2	1455034_at	32	344	138	372
CD81	1416330_at	786	4820	1713	588
