Accession	UnigeneID	Symbol	Name	Regulation
AA714315	Hs.9857	LOC51181	Carbonyl reductase	Up-Regulated
N70019	Hs.74170	MT1E	Metallothionein 1E (functional)	Up-Regulated
D20201	Hs.94360	MT1L	Metallothionein 1L	Up-Regulated
AI094778	Hs.118786	MT2A	Metallothionein 2A	Up-Regulated
L11370	Hs.79769	PCDH1	Protocadherin 1 (cadherin-like 1)	Up-Regulated
X63564	Hs.171880	POLR2A	Polymerase (RNA) II (DNA directed) polypeptide A (220 kD)	Up-Regulated
AA010869				Up-Regulated
AA643984				Up-Regulated
AI208396				Up-Regulated
AK024020				Up-Regulated
