HC order	ANN-Rank	Image ID	Gene	Cytoband
24	1	296815	DLK1	14q32
23	2	436121	DLK1	14q32
22	15	681891		8q21.13
21	7	222457	ARC	8q24.3
20	4	1913366	PRSS3	9p11.2
19	8	1913366	PRSS3	9p11.2
18	9	450382	SLIT3	5q35
17	13	192225	SLIT3	5q35
16	19	2030301	SLIT3	5q35
15	11	143169		8p12
14	3	1540478		4p13
13	23	811874	JPH1	8q21
12	21	41565	MYCN	2p24.1
11	5	2336916	ARHI	1p31
10	6	345680	ARHI	1p31
9	12	111264		11p15.2
8	10	26295	CNR1	6q14-q15
7	22	1574206		5p13.3
6	16	1967589	CD44	11p13
5	14	379779		9p22.3
4	20	811918	BTBD3	20p12.1
3	24	2361911	KLRC3	12p13
2	17	687667		Xq25
1	18	377573	ROBO2	3p13
