Probe set ID	Gene symbol	Control mean	Knockdown mean	Fold change	P-value
218865_at	MOSC1	597.7	226.58	0.38	0.014
208997_s_at	UCP2	482.2	186.82	0.39	0.023
210567_s_at	SKP2	655.43	324.19	0.49	0.026
205185_at	SPINK5	262.38	83.46	0.32	0.05
202145_at	LY6E	898.14	494.01	0.55	0.026
210334_x_at	BIRC5	763.16	413.14	0.54	0.002
209261_s_at	NR2F6	228.63	59.49	0.26	0.021
201551_s_at	LAMP1	386.12	175.72	0.46	0.029
208853_s_at	CANX	1863.81	1083.39	0.58	0.045
218755_at	KIF20A	540.32	277.78	0.51	0.001
202730_s_at	PDCD4	399.27	197.54	0.49	0.049
213490_s_at	MAP2K2	384.33	188.75	0.49	0.044
201054_at	HNRPA0	655.35	370.06	0.56	0.008
214484_s_at	OPRS1	611.27	346.39	0.57	0.015
202731_at	PDCD4	340.99	169.31	0.5	0.016
210202_s_at	BIN1	411.25	217.93	0.53	0.008
211941_s_at	PBP	1237.8	767.9	0.62	0.018
202072_at	HNRPL	246.15	102.31	0.42	0.019
218477_at	TMEM14A	681.79	401.49	0.59	0.012
204427_s_at	TMED2	888.09	553.17	0.62	0.033
219051_x_at	METRN	587.23	352.51	0.6	0.033
203764_at	DLG7	422.89	242.99	0.57	0.037
208549_x_at	PTMA	722.66	449.56	0.62	0.028
203388_at	ARRB2	325.15	179.25	0.55	0.032
201692_at	OPRS1	609.67	381.78	0.63	0.021
212016_s_at	PTBP1	716.36	458.25	0.64	0.033
214710_s_at	CCNB1	900.14	591.11	0.66	0.003
200648_s_at	GLUL	225.65	112.79	0.5	0.021
203422_at	POLD1	387.38	234.79	0.61	0.03
209449_at	LSM2	442.52	276.14	0.62	0.042
204426_at	TMED2	197.07	98.54	0.5	0.026
213041_s_at	ATP5D	1308.3	898.14	0.69	0.03
201487_at	CTSC	466.91	298.74	0.64	0.035
217007_s_at	ADAM15	368.3	227.38	0.62	0.006
213133_s_at	GCSH	996.25	680.1	0.68	0.003
208721_s_at	ANAPC5	312.4	188.11	0.6	0.026
217202_s_at	GLUL	232.94	130.78	0.56	0.009
210859_x_at	CLN3	341.78	210.66	0.62	0.006
208767_s_at	LAPTM4B	1385.14	970.56	0.7	0.01
212282_at	MAC30	720.63	489.52	0.68	0.023
214643_x_at	BIN1	275.44	164.96	0.6	0.045
208644_at	PARP1	1141.66	798.57	0.7	0.016
201842_s_at	EFEMP1	2001.96	1415.68	0.71	0.003
200617_at	KIAA0152	585.8	394.8	0.67	0.021
209624_s_at	MCCC2	366.84	233.81	0.64	0.005
209714_s_at	CDKN3	740.6	507.92	0.69	0.008
204331_s_at	MRPS12	579.82	391.76	0.68	0.045
205677_s_at	DLEU1	291.4	181.16	0.62	0.096
212092_at	PEG10	113.69	49.13	0.43	0.012
210508_s_at	KCNQ2	159.62	84.91	0.53	0.041
