Gene names	Accession Numbers	Monocytes	Macrophages	Immature DCs	MatureDCs
desmoyokin	M80899	-1.76	-0.25	1.02	1.49
Lysosomal acid lipase A	X76488	-1.76	0.12	1.38	0.26
cathepsin C	X87212	-2.06	0.28	1.06	0.72
Gelsolin-like capping protein	BF691659	-1.37	1.46	0.36	0.27
HSP70	AW249010	-1.65	-0.18	1.13	0.71
cystatin B (Stefin B)	BF431232	-1.88	0.54	0.84	0.51
Vitamin A responsive, cytoskeleton related	AA904672	-1.39	-0.41	0.55	1.25
acetyl-CoA thiolase	NM_000019	-1.34	-0.20	0.25	1.29
Lysyl oxidase	AA599304	-1.4	-0.21	0.4	1.21
M-CSF	M76453	-1.43	0.10	0.36	0.96
mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	NM_002406	-1.53	-0.07	0.84	0.75
C/EBP-?	BF343807	-1.51	0.46	0.82	0.22
GM2 ganglioside activator protein	X61095	-1.71	0.35	0.58	0.60
smooth muscle ?2-actin	NM_001615	-1.32	0.48	0.90	-0.06
NA	NA	-1.30	-0.22	0.70	0.83
?-actinin	X15804	-1.37	-0.07	0.70	0.73
ATPase, H+ transporting, lysosomal (vacuolar proton pump), subunit 1	BE252259	-1.26	0.19	0.80	0.27
Bloom syndrome	NM_000057	-1.27	0.08	0.41	0.78
WD repeat domain 1	AL110208	-1.30	0.32	0.73	0.25
cathepsin H	NM_004390	-1.22	0.58	0.73	-0.10
bridging integrator 1	BF688196	-1.14	0.29	0.81	0.04
membrane protein of cholinergic synaptic vesicles	L78833	-1.45	0.45	0.46	0.54
methylthioadenosine phosphorylase	AL048242	-0.98	-0.12	0.17	0.93
Non-receptor protein tyrosine phosphotase , type 18	BE271713	-1.11	-0.18	0.54	0.75
HDL binding protein (vigilin)	NM_005336	-1.12	-0.18	0.73	0.56
NA	NA	-1.36	0.51	-0.37	0.49
Basigin/CD147	NM_001728	-1.03	0.81	-0.04	0.18
nucleobindin 1	AL120813	-1.10	0.27	0.46	0.38
IL-4R	AC_004525	-0.76	0.03	0.35	0.39
integrin ?1	BE880168	-0.56	0.09	0.18	0.39
Interleukin-8	M17017	2.62	0.33	-1.78	-1.17
Interleukin-1?	X56087	2.24	-0.47	-1.05	-0.72
Interferon regulatory factor 7	NM_001572	1.31	-0.16	-1.09	-1.29
Versican	J02814	1.61	-0.16	-1.02	-0.43
KIA0442 protein	AK025298	1.49	0.21	-0.44	-1.26
Basic transcription element binding protein (GC-box binding)	D31716	1.35	0.19	-0.4	-1.13
Immediate early response gene	AW130755	1.30	-0.12	-0.80	-0.38
Zinc finger protein 117	NM_003451	1.24	0.37	-0.33	-1.28
