Gene symbol	Gene name	Accessionb	Ratioc Gastrin	Functional Category
RRM2	Ribonucleotide reductase M2 polypeptide	AA187351	1.59	 Cell proliferation
BTG1	B-cell translocation gene 1	N70463	1.57	 Cell proliferation
IL-8	Interleukin 8	AA102526	1.46	 Cell proliferation
EGR3	Early growth response 3	R39111	1.45	 Cell proliferation
ERCC5	Excision repair crosscomplementing rodent repair deficiency, complementation group 5	N62586	1.44	 Cell proliferation
MCM3	Minichromosome maintenance deficient 3	AA455786	1.35	 Cell proliferation
FGF1	Fibroblast growth factor 1 (acidic)	AA015793	1.3	 Cell proliferation
ETR101	Immediate-early protein	AA496359	1.27	 Cell proliferation
RAD23A	RAD23 (C. cervisiae) homolog A	AA476274	1.26	 Cell proliferation
CAMK2D	Calcium/calmodulin-dependent protein kinase (camkinase) II delta	AA283023	1.26	 Cell proliferation
LIG3	Ligase III, DNA, ATP dependent	AA149292	0.61	 Cell proliferation
HDAC2	Histone deacetylase 2	AA127093	0.72	 Cell proliferation
PPARG	Peroxisome proliferative-activated receptor, gamma	A088517	1.3	 Apoptosis
LTBR	Lymphotoxin beta receptor	AA454646	0.67	 Apoptosis
RCN2	Reticulocalbin 2	AA598676	1.36	 Cell adhesion/motility
SERPINA5	Serine (or cysteine) proteinase inhibitor, member 5	AA858026	1.28	 Cell adhesion/motility
CDH6	Cadherin 6	AA421819	1.25	 Cell adhesion/motility
SYK	Spleen tyrosine kinase	AA598572	0.63	 Cell adhesion/motility
IGFBP1	Insulin-like growth factor binding protein 1	AA233079	0.66	 Cell adhesion/motility
SCYA2	Small inducible cytokine A2	AA425102	0.71	 Cell adhesion/motility
MMP7	Matrix metalloproteinase 7	AA031513	0.78	 Cell adhesion/motility
HOXA1	Homeo box A1	AA173290	1.33	 Oncogenesis
S100A3	S100 calcium-binding protein A3	AA055242	1.29	 Oncogenesis
EWSR1	Ewing sarcoma break point region 1	AA464184	1.29	 Oncogenesis
UBE3A	Ubiquitin protein ligase E3A	N94099	1.29	 Oncogenesis
SIAT4C	Sialyltransferase 4C	AA453898	1.25	 Oncogenesis
CHC1L	Chromosome condensation 1-like	AA495766	0.66	 Oncogenesis
LBC	Lymphoid blast crisis oncogene	AA156936	0.7	 Oncogenesis
MEL	Mel transforming oncogene	AA064715	0.77	 Oncogenesis
OS-9	Amplified in osteosarcoma	AA03336	0.77	 Oncogenesis
