Probe	Gene	2 h	4 h	8 h	24 h
208712	Cyclin D1	1.1	0.8	1	0.9
208711	Cyclin D1	0.8	1.1	1	0.9
200953	Cyclin D2	0.7	1	1.1	1
201700	Cyclin D3	0.9	1	1.2	1.4
213523	Cyclin E1	—	1.1	1.1	1.5
211814	Cyclin E2v1	0.6	1	1.1	1.6
205034	Cyclin E2	0.7	0.9	0.7	1.9
205899	Cyclin A1	1.1	1	1.2	0.9
203418	Cyclin A2	1.1	1.3	1.2	1.8
211804	CDK2	0.6	1.2	1.1	1.6
202246	CDK4	0.9	1	1	1.4
207143	CDK6	0.7	1.2	0.6	1
202284	p21, Cip1	1.1	1	0.8	0.7
209112	p27, Kip1	0.8	0.8	0.9	0.9
