Accession	UnigeneID	Symbol	Name	Regulation
U78180	Hs.274361	ACCN2	Amiloride-sensitive cation channel 2, neuronal	Up-Regulated
X12548	Hs.75589	ACP2	Acid phosphatase 2, lysosomal	Up-Regulated
AA150869	Hs.26267	ADIR	ATP-dependent interferon response protein 1	Up-Regulated
X66503	Hs.90011	ADSS	Adenylosuccinate synthase	Up-Regulated
M55172	Hs.2159	AGC1	Aggrecan 1 (chondroitin sulfate proteoglycan 1, large aggregating proteoglycan, antigen identified by monoclonal antibody A0122)	Up-Regulated
AI139578	Hs.50628	AP4S1	Adaptor-related protein complex 4, sigma 1 subunit	Up-Regulated
Y15724	Hs.5541	ATP2A3	ATPase, Ca+ +transporting, ubiquitous	Up-Regulated
AA454616	Hs.90336	ATP6J	ATPase, H+ transporting, lysosomal (vacuolar proton pump), member J	Up-Regulated
D31833	Hs.1372	AVPR1B	Arginine vasopressin receptor 1B	Up-Regulated
AF039656	Hs.79516	BASP1	Brain acid-soluble protein 1	Up-Regulated
D45131	Hs.74631	BSG	Basigin	Up-Regulated
U34623	Hs.81226	CD6	CD6 antigen	Up-Regulated
AA627679	Hs.286055	CHN2	Chimerin (chimaerin) 2	Up-Regulated
U88844	Hs.80768	CLCN7	Chloride channel 7	Up-Regulated
W07084	Hs.50722	CLOCK	Clock (mouse) homolog	Up-Regulated
H16171	Hs.106671	CLPTM1	Cleft lip and palate associated transmembrane protein 1	Up-Regulated
AF018081	Hs.78409	COL18A1	Collagen, type XVIII, alpha 1	Up-Regulated
AA977821	Hs.172928	COL1A1	Collagen, type I, alpha 1	Up-Regulated
AA878692	Hs.10326	COPE	Coatomer protein complex, subunit epsilon	Up-Regulated
U84388	Hs.155566	CRADD	CASP2 and RIPK1 domain containing adaptor with death domain	Up-Regulated
X58022	Hs.115617	CRHBP	Corticotropin releasing hormone-binding protein	Up-Regulated
AF005418	Hs.150595	CYP26A1	Cytochrome P450, subfamily XXVIA, polypeptide 1	Up-Regulated
AI209130	Hs.62880		Novel protein similar to mouse MOV10	Up-Regulated
AA720544	Hs.211869	DKK2	Dickkopf (Xenopus laevis) homolog 2	Up-Regulated
AA993575	Hs.150926	FPGT	Fucose-phosphate guanylyltransferase	Up-Regulated
X54101	Hs.105806	GNLY	Granulysin	Up-Regulated
D86962	Hs.81875	GRB10	Growth factor receptor-bound protein 10	Up-Regulated
U79734	Hs.97206	HIP1	Huntingtin interacting protein 1	Up-Regulated
D50532	Hs.54403	HML2	Macrophage lectin 2 (calcium dependent)	Up-Regulated
AJ000041	Hs.127562	HOXC11	Homeo box C11	Up-Regulated
D87673	Hs.75486	HSF4	Heat shock transcription factor 4	Up-Regulated
AI268685	Hs.279945	HSPC023	HSPC023 protein	Up-Regulated
AA179245	Hs.50889	HUMMLC2B	(Clone PWHLC2-24) myosin light chain 2	Up-Regulated
X16302	Hs.162	IGFBP2	Insulin-like growth factor binding protein 2 (36 kD)	Up-Regulated
U52682	Hs.82132	IRF4	Interferon regulatory factor 4	Up-Regulated
U73036	Hs.166120	IRF7	Interferon regulatory factor 7	Up-Regulated
U50964	Hs.37169	KCNJ3	Potassium inwardly-rectifying channel, subfamily J, member 3	Up-Regulated
AB014605	Hs.22599	KIAA0705	Atrophin interacting protein 1; activin receptor interacting protein 1	Up-Regulated
W73168	Hs.50915	KLK5	kallikrein 5	Up-Regulated
M26682	Hs.1149	LMO1	LIM domain only 1 (rhombotin 1)	Up-Regulated
AA555023	Hs.26663	LOC51191	cyclin-E binding protein 1	Up-Regulated
AI352156	Hs.70830	LOC51690	U6 snRNA-associated Sm-like protein LSm7	Up-Regulated
AA322561	Hs.31854	LOC57106	K562 cell-derived leucine-zipper-like protein 1	Up-Regulated
W72366	Hs.132906	LOC57823	19A24 protein	Up-Regulated
AA287827	Hs.284205	LOC64116	Up-regulated by BCG-CWS	Up-Regulated
U89942	Hs.83354	LOXL2	Lysyl oxidase-like 2	Up-Regulated
X13916	Hs.89137	LRP1	Low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)	Up-Regulated
AF074264	Hs.23672	LRP6	Low density lipoprotein receptor-related protein 6	Up-Regulated
R00343	Hs.85087	LTBP4	Latent transforming growth factor beta binding protein 4	Up-Regulated
D26512	Hs.2399	MMP14	Matrix metalloproteinase 14 (membrane-inserted)	Up-Regulated
N87886	Hs.111301	MMP2	Matrix metalloproteinase 2 (gelatinase A, 72 kD gelatinase, 72 kD type IV collagenase)	Up-Regulated
M74905	Hs.79396	MPG	N-methylpurine-DNA glycosylase	Up-Regulated
AA534521	Hs.148101	MSE55	Serum constituent protein	Up-Regulated
N70019	Hs.74170	MT1E	Metallothionein 1E (functional)	Up-Regulated
D20201	Hs.94360	MT1L	Metallothionein 1L	Up-Regulated
AI094778	Hs.118786	MT2A	z,etallothionein 2A	Up-Regulated
AA453700	Hs.26229	NLGN2	Neuroligin 2	Up-Regulated
H59788	Hs.80423	PBP	Prostatic binding protein	Up-Regulated
L11370	Hs.79769	PCDH1	Protocadherin 1 (cadherin-like 1)	Up-Regulated
AA284556	Hs.15192	PEMT	Phosphatidylethanolamine N-methyltransferase	Up-Regulated
AA532444	Hs.268557	PHLDA3	Pleckstrin homology-like domain, family A, member 3	Up-Regulated
U49070	Hs.161362	PIN1	Protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1	Up-Regulated
U70370	Hs.84136	PITX1	Paired-like homeodomain transcription factor 1	Up-Regulated
AF064594	Hs.120360	PLA2G6	Phospholipase A2, group VI (cytosolic, calcium-independent)	Up-Regulated
X63564	Hs.171880	POLR2A	Polymerase (RNA) II (DNA directed) polypeptide A (220 kD)	Up-Regulated
AI074176	Hs.31535	PRO2325	Hypothetical protein PRO2325	Up-Regulated
X99688	Hs.154658	PSD	Pleckstrin and Sec7 domain protein	Up-Regulated
Y08200	Hs.78920	RABGGTA	Rab geranylgeranyltransferase, alpha subunit	Up-Regulated
AL022729	Hs.50267	RAYL	putative GTP-binding protein similar to RAY/RAB1C	Up-Regulated
AI017832	Hs.99034	RHO7	GTP-binding protein Rho7	Up-Regulated
AA263000	Hs.23262	RNASE6	Ribonuclease, RNase A family, k6	Up-Regulated
L16242	Hs.170238	SCN1B	Sodium channel, voltage-gated, type I, beta polypeptide	Up-Regulated
AB000887	Hs.50002	SCYA19	Small inducible cytokine subfamily A (Cys-Cys), member 19	Up-Regulated
J05037	Hs.76751	SDS	Serine dehydratase	Up-Regulated
R29058	Hs.234726	SERPINA3	Serine (or cysteine) proteinase inhibitor, clade A (alpha antiproteinase, antitrypsin), member 3	Up-Regulated
AA760720	Hs.158213	SPAG6	Sperm associated antigen 6	Up-Regulated
U45285	Hs.46465	TCIRG1	T-cell, immune regulator 1	Up-Regulated
AJ005895	Hs.19105	TIM17B	Translocase of inner mitochondrial membrane 17 (yeast) homolog B	Up-Regulated
AI202283	Hs.250763	TMOD4	Tropomodulin 4 (muscle)	Up-Regulated
M64247	Hs.54668	TNNI3	Troponin I, cardiac	Up-Regulated
U78798	Hs.90957	TRAF6	TNF receptor-associated factor 6	Up-Regulated
AB011101	Hs.23168	USP15	Ubiquitin specific protease 15	Up-Regulated
AI083491	Hs.284122	WIF	Wnt inhibitory factor	Up-Regulated
AA554367	Hs.108665	ZIN	Zinedin	Up-Regulated
X69115	Hs.54488	ZNF37A	Zinc finger protein 37a (KOX 21)	Up-Regulated
AA009462				Up-Regulated
AA010869				Up-Regulated
AA022679				Up-Regulated
AA056177				Up-Regulated
AA058761				Up-Regulated
AA135073				Up-Regulated
AA150262				Up-Regulated
AA152211				Up-Regulated
AA173659				Up-Regulated
AA179600				Up-Regulated
AA216066				Up-Regulated
AA286856				Up-Regulated
AA291355				Up-Regulated
AA327291				Up-Regulated
AA355658				Up-Regulated
AA394175				Up-Regulated
AA400680				Up-Regulated
AA452606				Up-Regulated
AA464854				Up-Regulated
AA476477				Up-Regulated
AA523881				Up-Regulated
AA543086				Up-Regulated
AA599085				Up-Regulated
AA643984				Up-Regulated
AA687757				Up-Regulated
AA708532				Up-Regulated
AA719025				Up-Regulated
AA744248				Up-Regulated
AA757630				Up-Regulated
AA770463				Up-Regulated
AA830405				Up-Regulated
AA860277				Up-Regulated
AA877205				Up-Regulated
AA878005				Up-Regulated
AA885514				Up-Regulated
AA932097				Up-Regulated
AA970360				Up-Regulated
AA988274				Up-Regulated
AA994004				Up-Regulated
AB014534				Up-Regulated
AB014570				Up-Regulated
AF070580				Up-Regulated
AF070585				Up-Regulated
AI002114				Up-Regulated
AI015419				Up-Regulated
AI038441				Up-Regulated
AI057114				Up-Regulated
AI126992				Up-Regulated
AI128117				Up-Regulated
AI168147				Up-Regulated
AI208378				Up-Regulated
AI208396				Up-Regulated
AI264358				Up-Regulated
AI270296				Up-Regulated
AI341363				Up-Regulated
AI344249				Up-Regulated
AI344470				Up-Regulated
AI347073				Up-Regulated
AI366215				Up-Regulated
AI366530				Up-Regulated
AK024020				Up-Regulated
AL137271				Up-Regulated
D62497				Up-Regulated
D87457				Up-Regulated
F21814				Up-Regulated
H10772				Up-Regulated
H12670				Up-Regulated
H21096				Up-Regulated
N54851				Up-Regulated
N70804				Up-Regulated
R09189				Up-Regulated
R10542				Up-Regulated
R69503				Up-Regulated
U69201				Up-Regulated
W60224				Up-Regulated
W94363				Up-Regulated
Y00664				Up-Regulated
