Gene Symbol	Chromosome Band
SCAMP3	1q22
IQGAP3	1q22
PYGO2	1q22
GPATC4	1q22
ASH1L	1q22
CCT3	1q22
APOA1BP	1q22
HSPC150	1q32
JARID1B	1q32
NEK2	1q32
SMYD2	1q41
LBR	1q42
GNPAT	1q42
MRPL55	1q42
CABC1	1q42
ARID4B	1q42
TBCE	1q42
XLKD1	11p15
ARNTL	11p15
TRIM22	11p15
SAA1	11p15
SAA4	11p15
LDHA	11p15
ADM	11p15
SMPD1	11p15
IRF7	11p15
IFITM1	11p15
MS4A7	11q12
UBE2L6	11q12
MS4A4A	11q12
MS4A6A	11q12
DTX4	11q12
MS4A6E	11q12
HRASLS3	11q12
SERPING1	11q12
C1S	12p13
CDKN1B	12p13
KLRK1	12p13
CD163	12p13
C3AR1	12p13
C1RL	12p13
CLEC2	12p13
CD4	12p13
