Probe ID	Gene	Jones	Allinen	S
205064_at	SPRR1B	+		8.1
205916_at	S100A7	+		7.3
203691_at	PI3			7.2
202917_s_at	S100A8			5.5
203535_at	S100A9			5.1
209800_at	KRT16			4.9
214599_at	IVL			4.6
214549_x_at	SPRR1A			3.8
214580_x_at	KRT6B			3.8
207065_at	K6HF			3.6
200632_s_at	NDRG1			3.5
214164_x_at	AP1G1			3.4
218717_s_at	LEPREL1			3.3
39248_at	AQP3			3.1
219250_s_at	FLRT3			2.9
204971_at	CSTA	+		2.8
219554_at	RHCG			2.7
204455_at	BPAG1	+	+	2.7
215177_s_at	ITGA6	+		2.6
203963_at	CA12			2.6
209699_x_at	AKR1C2	+		2.5
210735_s_at	CA12			2.4
209863_s_at	TP73L	+	+	2.3
204855_at	SERPINB5	+		2.3
203562_at	FEZ1			2.3
206033_s_at	DSC3			2.2
205067_at	IL1B			2.2
202088_at	SLC39A6			2.2
206156_at	GJB5			2.2
202504_at	TRIM29	+		2.1
222108_at	AMIGO2			2.1
216268_s_at	JAG1	+		2
210118_s_at	Il1A			1.9
206032_at	DSC3			1.9
209758_s_at	MFAP5			1.9
210355_at	PTHLH	+		1.9
201667_at	GJA1			1.9
211756_at	PTHLH	+		1.9
209569_x_at	D4S234E			1.8
204351_at	S100P			1.8
203021_at	SLPI			1.8
202831_at	GPX2			1.7
204469_at	PTPRZ1			1.7
221854_at	PKP1			1.7
204151_x_at	AKR1C1			1.7
209125_at	KRT6A			1.6
201185_at	PRSS11	+		1.6
210809_s_at	POSTN			1.6
214370_at	S100A8			1.5
213765_at	MFAP5			1.5
206165_s_at	CLCA2			1.5
206400_at	LGALS7	+		1.5
204879_at	TIA-2			1.5
206642_at	DSG1			1.5
202089_s_at	SLC39A6			1.5
211194_s_at	TP73L	+	+	1.4
218002_s_at	SCYB14			1.4
201287_s_at	SDC1			1.4
209099_x_at	JAG1	+		1.4
202345_s_at	FABP5	+		1.4
206300_s_at	PTHLH	+		1.4
212190_at	SERPINE2			1.3
204268_at	S100A2	+		1.3
205680_at	MMP10			1.3
209260_at	SFN	+		1.3
210367_s_at	PTGES			1.3
