Name	Accession number	MCF7	SF539	DU145
OAS3ʠ	NM_006187	5.78	2.99	4.32
G1P3ʠ	NM_002038	4.04	2.91	3.05
TNFRSF11B	NM_002546	3.79	4.91	2.45
G1P2ʠ	NM_005101	3.78	3.97	3.07
A2M	NM_000014	3.29	2.51	2.28
PROPERDIN	NM_001710	3.24	3.12	2.4
IFIT2ʠ	NM_001547	2.9	2.58	2.71
HBB	NM_000518	2.71	2.76	2.7
IFITM1ʠ	NM_003641	2.62	3.77	2.26
LIPC	NM_000236	2.46	2.02	2.02
LGALS3PBʠ	NM_005567	2.29	2.52	2.07
CD69	NM_001781	2.21	3.89	2.16
BST2ʠ	NM_004335	2.18	4.88	2.04
