Gene	Chromosome Band
RHBG	1q22
SHC1	1q22
PYGO2	1q22
SCAMP3	1q22
C1 or f2	1q22
GPATC4	1q22
HCN3	1q22
ASH1L	1q22
KRTCAP2	1q22
CCT3	1q22
RUSC1	1q22
MTX1	1q22
APOA1BP	1q22
IQGAP3	1q22
PMVK	1q22
GBA	1q22
PKLR	1q22
FDPS	1q22
DAP3	1q22
EFNA1	1q22
SSR2	1q22
THBS3	1q22
ARHGEF2	1q22
CLK2	1q22
RIT1	1q22
BGLAP	1q22
MEF2D	1q22
ADAM15	1q22
PMF1	1q22
LMNA	1q22
EFNA4	1q22
SYT11	1q22
PBXIP1	1q22
RAB25	1q22
KCNN3	1q22
SEMA4A	1q22
ZFP67	1q22
PLXNA2	1q32
NEK2	1q32
ZNF281	1q32
RIPK5	1q32
MCP	1q32
JARID1B	1q32
TMEM9	1q32
PPP2R5A	1q32
RNPEP	1q32
RBBP5	1q32
MDM4	1q32
LPGAT1	1q32
ADIPOR1	1q32
SOX13	1q32
C1 or f48	1q32
NR5A2	1q32
NQO3A2	1q32
HHAT	1q32
RAB7L1	1q32
DAF	1q32
MYOG	1q32
CHIT1	1q32
PFKFB2	1q32
C1 or f37	1q32
CSRP1	1q32
C4BPB	1q32
CR1L	1q32
PPP1R15B	1q32
PHLDA3	1q32
IPO9	1q32
PCANAP6	1q32
LGTN	1q32
RPS6KC1	1q32
ATF3	1q32
RCOR3	1q32
KIF21B	1q32
KIF14	1q32
LAD1	1q32
PIK3C2B	1q32
LAMB3	1q32
C1 or f40	1q32
PLEKHA6	1q32
ELK4	1q32
NAV1	1q32
RABIF	1q32
PTPN7	1q32
TRAF5	1q32
LRRN5	1q32
PPFIA4	1q32
IL19	1q32
MYBPH	1q32
PPP1R12B	1q32
TIMM17A	1q32
SERTAD4	1q32
CHI3L1	1q32
KISS1	1q32
ARL10B	1q32
TNNT2	1q32
BTG2	1q32
SLC30A1	1q32
ADORA1	1q32
IKBKE	1q32
SLC41A1	1q32
SRGAP2	1q32
ATP2B4	1q32
DYRK3	1q32
C4BPA	1q32
PIGR	1q32
PKP1	1q32
CD34	1q32
LGR6	1q32
MAPKAPK2	1q32
SYT14	1q32
RASSF5	1q32
KLHL12	1q32
TNNI1	1q32
LMOD1	1q32
ETNK2	1q32
CACNA1S	1q32
IRF6	1q32
HSD11B1	1q32
IL24	1q32
CNTN2	1q32
CR2	1q32
FMOD	1q32
REN	1q32
PRELP	1q32
CTSE	1q32
TAF1A	1q41
GPATC2	1q41
DISP1	1q41
KCTD3	1q41
SMYD2	1q41
LYPLAL1	1q41
EPRS	1q41
KCNK2	1q41
HLX1	1q41
PTPN14	1q41
PROX1	1q41
MARK1	1q41
USH2A	1q41
DUSP10	1q41
GNPAT	1q42
TBCE	1q42
ARID4B	1q42
CABC1	1q42
GGPS1	1q42
PARP1	1q42
TAF5L	1q42
LBR	1q42
GNG4	1q42
WDR26	1q42
TRIM11	1q42
ARV1	1q42
TARBP1	1q42
ABCB10	1q42
NUP133	1q42
TOMM20	1q42
COG2	1q42
RAB4A	1q42
KCNK1	1q42
GUK1	1q42
CDC42BPA	1q42
TTC13	1q42
ACBD3	1q42
SLC35F3	1q42
PSEN2	1q42
ENAH	1q42
PGBD5	1q42
TP53BP2	1q42
EPHX1	1q42
EGLN1	1q42
CAPN9	1q42
NID	1q42
DISC1	1q42
FBXO28	1q42
C1 or f35	1q42
PCNXL2	1q42
NVL	1q42
KIAA0133	1q42
AGT	1q42
TSNAX	1q42
SIPA1L2	1q42
CAPN2	1q42
ITPKB	1q42
OBSCN	1q42
TM7SF1	1q42
GALNT2	1q42
