Probe Set	GenBank	Gene Symbol	Gene name / description	Fold change
1420249	NM_009139	Ccl6	chemokine (C-C motif) ligand 6	-5.8
1453143	AK014852	4921509F24RIK	RIKEN cDNA 4921509F24 gene	-3.77
1422644	AJ487014	Sh3bgr	Putative SH3BGR protein (SH3BGR gene)	-2.86
1438055	AK077393	Rarres1	retinoic acid receptor responder (tazarotene induced) 1	-2.39
1425810	NM_007791	Csrp1	cysteine and glycine-rich protein 1	-2.3
1445597	NM_139269	Hrasl3	HRAS like suppressor 3	-2.21
1425811	NM_007791	Csrp1	cysteine and glycine-rich protein 1	-2.02
1415856	NM_010330	Emb	embigin	-2
