Category	Symbol	Fold change (mean ± SD) Day 1	Fold change (mean ± SD) Day 3	Fold change (mean ± SD) Day 7	Fold change (mean ± SD) Day 11	Fold change (mean ± SD) Day 16
Acute, sustained	Saa1	3.249 ± 0.635	3.314 ± 0.304	3.096 ± 0.427	2.494 ± 0.564	1.949 ± 0.955
Acute, sustained	Egr1	1.760 ± 0.315	2.252 ± 0.537	2.743 ± 0.255	2.688 ± 0.091	2.262 ± 0.326
Acute, sustained	Birc5	1.544 ± 0.017	2.015 ± 0.123	1.780 ± 0.138	1.695 ± 0.069	1.571 ± 0.107
Early, transient	Nfjb	0.460 ± 0.261	1.245 ± 0.039	1.153 ± 0.113	0.672 ± 0.053	0.491 ± 0.105
Early, transient	Ptgs2	0.381 ± 0.221	1.588 ± 1.122	0.277 ± 0.196	0.922 ± 0.623	0.604 ± 0.235
Early, transient	Rel	0.519 ± 0.188	1.422 ± 0.273	1.274 ± 0.025	1.509 ± 0.201	0.822 ± 0.179
Early, transient	Traf1	0.521 ± 0.219	1.125 ± 0.146	0.971 ± 0.071	0.847 ± 0.203	0.097 ± 0.128
Early, transient	Irf1	0.250 ± 0.137	1.242 ± 0.006	1.170 ± 0.095	1.026 ± 0.227	0.913 ± 0.183
Early, sustained	Atf3	0.938 ± 0.177	1.806 ± 0.035	1.800 ± 0.115	1.741 ± 0.081	1.717 ± 0.036
Early, sustained	Birc2	0.268 ± 0.242	1.336 ± 0.179	1.917 ± 0.027	1.812 ± 0.127	1.586 ± 0.273
Early, sustained	C3	0.870 ± 0.563	1.512 ± 0.157	2.307 ± 0.323	2.160 ± 0.967	1.881 ± 0.014
Early, sustained	Crol	0.296 ± 0.568	2.408 ± 0.244	2.196 ± 0.323	1.913 ± 0.095	1.762 ± 0.812
Early, sustained	Junb	1.021 ± 0.146	2.473 ± 0.306	3.008 ± 0.156	2.779 ± 0.227	2.301 ± 0.244
Early, sustained	Myc	0.027 ± 0.225	2.174 ± 0.583	2.706 ± 0.089	2.249 ± 0.348	2.249 ± 0.320
Early, sustained	Trl2	0.017 ± 0.273	1.903 ± 0.053	2.417 ± 0.157	2.259 ± 0.154	2.118 ± 0.446
Early, sustained	Bcl3	0.150 ± 0.193	2.096 ± 0.319	2.119 ± 0.869	2.261 ± 0.140	2.300 ± 0.302
Early, sustained	Vcam1	0.250 ± 0.061	2.303 ± 0.211	2.717 ± 0.081	3.118 ± 0.335	2.124 ± 0.410
Early, sustained	Scay2	-0.701 ± 0.101	1.681 ± 0.058	2.258 ± 0.156	2.515 ± 0.381	1.955 ± 0.227
Late	Mekk1	0.268 ± 0.029	0.915 ± 0.359	1.329 ± 0.045	1.459 ± 0.264	1.148 ± 0.512
Late	Bcl2a1c	0.094 ± 0.234	0.534 ± 0.642	1.268 ± 0.033	1.893 ± 0.201	2.057 ± 0.557
Late	Bcl2a1d	-0.118 ± 0.055	0.102 ± 0.752	0.949 ± 0.004	1.907 ± 0.232	1.932 ± 0.379
Late	IL-1b	1.184 ± 0.366	0.965 ± 0.798	1.806 ± 0.263	1.691 ± 0.009	1.909 ± 0.029
Late	IL-6	0.563 ± 0.325	1.300 ± 0.919	1.117 ± 0.789	2.722 ± 0.094	2.140 ± 1.513
